,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,447616000.0,328282000.0,60517000.0,263334000.0
Minority Interest,671026000.0,648179000.0,646964000.0,576786000.0
Net Income,431951000.0,316386000.0,57539000.0,252856000.0
Selling General Administrative,13041000.0,14678000.0,15383000.0,11093000.0
Gross Profit,386064000.0,368457000.0,350948000.0,389939000.0
Ebit,157626000.0,153106000.0,135603000.0,177017000.0
Operating Income,157626000.0,153106000.0,135603000.0,177017000.0
Other Operating Expenses,,,,
Interest Expense,-70299000.0,-69063000.0,-69543000.0,-119410000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,284000.0,242000.0,153000.0,350000.0
Total Revenue,623206000.0,598059000.0,597602000.0,613435000.0
Total Operating Expenses,465580000.0,444953000.0,461999000.0,436418000.0
Cost Of Revenue,237142000.0,229602000.0,246654000.0,223496000.0
Total Other Income Expense Net,289990000.0,175176000.0,-75086000.0,86317000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,447332000.0,328040000.0,60364000.0,262984000.0
Net Income Applicable To Common Shares,431178000.0,315614000.0,56766000.0,252084000.0
