,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,4036000000.0,4272000000.0,4623000000.0,4805000000.0
Total Liab,194899000000.0,189350000000.0,182195000000.0,186353000000.0
Total Stockholder Equity,97323000000.0,93331000000.0,89782000000.0,86674000000.0
Minority Interest,-1695000000.0,-1636000000.0,-1658000000.0,-1497000000.0
Deferred Long Term Liab,3610000000.0,3798000000.0,3875000000.0,3857000000.0
Other Current Liab,81645000000.0,81084000000.0,81284000000.0,43018000000.0
Total Assets,290527000000.0,281045000000.0,270319000000.0,271530000000.0
Common Stock,97323000000.0,93331000000.0,89782000000.0,16672000000.0
Other Liab,39719000000.0,35904000000.0,36588000000.0,42711000000.0
Good Will,37164000000.0,36436000000.0,36659000000.0,34945000000.0
Other Assets,34696000000.0,29518000000.0,29794000000.0,31374000000.0
Cash,46476000000.0,43273000000.0,40543000000.0,43612000000.0
Total Current Liabilities,125855000000.0,124662000000.0,114995000000.0,114320000000.0
Deferred Long Term Asset Charges,25047000000.0,25175000000.0,25079000000.0,26296000000.0
Short Long Term Debt,10155000000.0,11737000000.0,2353000000.0,5369000000.0
Property Plant Equipment,21781000000.0,21724000000.0,21872000000.0,21363000000.0
Total Current Assets,163103000000.0,160153000000.0,146305000000.0,149795000000.0
Long Term Investments,29747000000.0,28942000000.0,31066000000.0,29248000000.0
Net Tangible Assets,56123000000.0,52623000000.0,48500000000.0,46924000000.0
Short Term Investments,15016000000.0,12855000000.0,4599000000.0,6820000000.0
Net Receivables,66788000000.0,73510000000.0,70913000000.0,67431000000.0
Long Term Debt,22282000000.0,21673000000.0,23299000000.0,22218000000.0
Inventory,34823000000.0,30515000000.0,30250000000.0,28097000000.0
Accounts Payable,31877000000.0,29638000000.0,29135000000.0,31988000000.0
Capital Surplus,,,,24731000000.0
Other Current Assets,,,,1978000000.0
Retained Earnings,,,,47960000000.0
Treasury Stock,,,,-2689000000.0
Other Stockholder Equity,,,,-2689000000.0
