,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-7869000000.0,-5799000000.0,161000000.0,1121000000.0
Change To Liabilities,-1655000000.0,5347000000.0,342000000.0,953000000.0
Total Cashflows From Investing Activities,-9118000000.0,-7124000000.0,-934000000.0,-8562000000.0
Net Borrowings,-580000000.0,6677000000.0,-5713000000.0,-4879000000.0
Total Cash From Financing Activities,-2548000000.0,4289000000.0,-6167000000.0,-8479000000.0
Change To Operating Activities,1619000000.0,-399000000.0,-4939000000.0,3891000000.0
Net Income,5752000000.0,3679000000.0,3187000000.0,7522000000.0
Change In Cash,3203000000.0,2730000000.0,-3069000000.0,-5162000000.0
Effect Of Exchange Rate,145000000.0,-375000000.0,827000000.0,-2024000000.0
Total Cash From Operating Activities,14724000000.0,5940000000.0,3205000000.0,13903000000.0
Depreciation,1991000000.0,1768000000.0,1711000000.0,1367000000.0
Other Cashflows From Investing Activities,-4000000.0,-4000000.0,-5000000.0,668000000.0
Dividends Paid,-161000000.0,-3328000000.0,-5000000.0,-2445000000.0
Change To Inventory,-3877000000.0,-701000000.0,-1235000000.0,3753000000.0
Change To Account Receivables,8833000000.0,-4034000000.0,1979000000.0,-7231000000.0
Other Cashflows From Financing Activities,-1807000000.0,940000000.0,-449000000.0,-1318000000.0
Change To Netincome,1667000000.0,-49000000.0,1936000000.0,3418000000.0
Capital Expenditures,-1040000000.0,-1007000000.0,-915000000.0,-1012000000.0
Issuance Of Stock,,,,163000000.0
