Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,2.7814132551993094,2.759161949157715,2.759161949157715,8100,0.0,0
1973-02-22,0.0,2.825915991313874,2.7814133772774348,2.8036646842956543,13700,0.0,0
1973-02-23,0.0,2.759155750274658,2.713923688794746,2.759155750274658,21800,0.254,0
1973-02-26,0.0,2.7365403175354004,2.691308246171179,2.7365403175354004,30900,0.0,0
1973-02-27,0.0,2.7365402042865754,2.691308134794235,2.7139241695404053,6200,0.0,0
1973-02-28,0.0,2.8043883085250854,2.7139241695404053,2.7139241695404053,17100,0.0,0
1973-03-01,0.0,2.7365396042831804,2.6686915149207877,2.691307544708252,31100,0.0,0
1973-03-02,0.0,2.69130862769434,2.6460765499179644,2.6686925888061523,18600,0.0,0
1973-03-05,0.0,2.6686925888061523,2.6460765499179644,2.6686925888061523,16200,0.0,0
1973-03-06,0.0,2.7365403175354004,2.691308246171179,2.7365403175354004,10700,0.0,0
1973-03-07,0.0,2.7591562390327455,2.7139241695404053,2.7139241695404053,11500,0.0,0
1973-03-08,0.0,2.7591562390327455,2.7139241695404053,2.7139241695404053,19500,0.0,0
1973-03-09,0.0,2.7365396042831804,2.691307544708252,2.691307544708252,7600,0.0,0
1973-03-12,0.0,2.7139246665825274,2.6686925888061523,2.6686925888061523,8600,0.0,0
1973-03-13,0.0,2.713923574495716,2.6686915149207877,2.691307544708252,7200,0.0,0
1973-03-14,0.0,2.7591562390327455,2.691308134794235,2.7139241695404053,11400,0.0,0
1973-03-15,0.0,2.7139241695404053,2.691308134794235,2.7139241695404053,4700,0.0,0
1973-03-16,0.0,2.7365402042865754,2.691308134794235,2.7139241695404053,8100,0.0,0
1973-03-19,0.0,2.7139246665825274,2.6686925888061523,2.6686925888061523,24000,0.0,0
1973-03-20,0.0,2.69130924420479,2.6460771560668945,2.6460771560668945,11200,0.0,0
1973-03-21,0.0,2.69130924420479,2.6460771560668945,2.6460771560668945,9500,0.0,0
1973-03-22,0.0,2.6460771560668945,2.6234611119979467,2.6460771560668945,21800,0.0,0
1973-03-23,0.0,2.6686921243009896,2.60084401944588,2.623460054397583,15600,0.0,0
1973-03-26,0.0,2.69130862769434,2.600844472141589,2.6686925888061523,14100,0.0,0
1973-03-27,0.0,2.6686925888061523,2.623460511029777,2.6686925888061523,16600,0.0,0
1973-03-28,0.0,2.6686932001358423,2.6234611119979467,2.6460771560668945,21000,0.0,0
1973-03-29,0.0,2.6686932001358423,2.6234611119979467,2.6460771560668945,11800,0.0,0
1973-03-30,0.0,2.69130924420479,2.6460771560668945,2.6460771560668945,13600,0.0,0
1973-04-02,0.0,2.713925288273738,2.6460771560668945,2.6460771560668945,16200,0.0,0
1973-04-03,0.0,2.7365413323426857,2.6460771560668945,2.6460771560668945,11700,0.0,0
1973-04-04,0.0,2.713923574495716,2.6686915149207877,2.691307544708252,4500,0.0,0
1973-04-05,0.0,2.6686932001358423,2.6234611119979467,2.6460771560668945,13900,0.0,0
1973-04-06,0.0,2.69130924420479,2.6234611119979467,2.6460771560668945,13600,0.0,0
1973-04-09,0.0,2.6686925888061523,2.6460765499179644,2.6686925888061523,14800,0.0,0
1973-04-10,0.0,2.69130862769434,2.6460765499179644,2.6686925888061523,36700,0.0,0
1973-04-11,0.0,2.7365403175354004,2.668692210489068,2.7365403175354004,7800,0.0,0
1973-04-12,0.0,2.7139241695404053,2.6686921000480655,2.7139241695404053,19000,0.0,0
1973-04-13,0.0,2.7365402042865754,2.691308134794235,2.7139241695404053,15200,0.0,0
1973-04-16,0.0,2.7365407054707154,2.6686925888061523,2.6686925888061523,8600,0.0,0
1973-04-17,0.0,2.713923574495716,2.6686915149207877,2.691307544708252,8100,0.0,0
1973-04-18,0.0,2.69130862769434,2.6686925888061523,2.6686925888061523,15800,0.0,0
1973-04-19,0.0,2.691307544708252,2.6686915149207877,2.691307544708252,13200,0.0,0
1973-04-23,0.0,2.691307544708252,2.6686915149207877,2.691307544708252,9400,0.0,0
1973-04-24,0.0,2.7139241695404053,2.6460760653018953,2.7139241695404053,11200,0.0,0
1973-04-25,0.0,2.713925288273738,2.6460771560668945,2.6460771560668945,14800,0.0,0
1973-04-26,0.0,2.69130862769434,2.6460765499179644,2.6686925888061523,7900,0.0,0
1973-04-27,0.0,2.69130862769434,2.6460765499179644,2.6686925888061523,11100,0.0,0
1973-04-30,0.0,2.6686925888061523,2.623460511029777,2.6686925888061523,36400,0.0,0
1973-05-01,0.0,2.6460771560668945,2.6234611119979467,2.6460771560668945,12200,0.0,0
1973-05-02,0.0,2.6686932001358423,2.6234611119979467,2.6460771560668945,11400,0.0,0
1973-05-03,0.0,2.6686925888061523,2.6460765499179644,2.6686925888061523,35600,0.0,0
1973-05-04,0.0,2.713923574495716,2.646075485133323,2.691307544708252,13800,0.0,0
1973-05-07,0.0,2.7139246665825274,2.6460765499179644,2.6686925888061523,9900,0.0,0
1973-05-08,0.0,2.69130924420479,2.6460771560668945,2.6460771560668945,10200,0.0,0
1973-05-09,0.0,2.6686932001358423,2.6234611119979467,2.6460771560668945,11900,0.0,0
1973-05-10,0.0,2.6686925888061523,2.623460511029777,2.6686925888061523,8800,0.0,0
1973-05-11,0.0,2.6686921243009896,2.623460054397583,2.623460054397583,9400,0.0,0
1973-05-14,0.0,2.6460760893492865,2.623460054397583,2.623460054397583,8900,0.0,0
1973-05-15,0.0,2.6460771560668945,2.6234611119979467,2.6460771560668945,9100,0.0,0
1973-05-16,0.0,2.6686932001358423,2.6234611119979467,2.6460771560668945,6900,0.0,0
1973-05-17,0.0,2.668692137065687,2.555611961766293,2.578227996826172,173400,0.0,0
1973-05-18,0.0,2.6008444022288364,2.555612325668335,2.555612325668335,30300,0.0,0
1973-05-21,0.0,2.6008440318860506,2.5329959267064144,2.578227996826172,20800,0.0,0
1973-05-22,0.0,2.6008440318860506,2.555611961766293,2.578227996826172,14100,0.0,0
1973-05-23,0.0,2.6234600669459294,2.578227996826172,2.578227996826172,8000,0.0,0
1973-05-24,0.0,2.6460760893492865,2.5782279844941765,2.623460054397583,13300,0.0,0
1973-05-25,0.0,2.578227996826172,2.5329959267064144,2.578227996826172,22300,0.0,0
1973-05-29,0.0,2.6234600669459294,2.578227996826172,2.578227996826172,11200,0.0,0
1973-05-30,0.0,2.6234600669459294,2.578227996826172,2.578227996826172,9300,0.0,0
1973-05-31,0.0,2.6008440318860506,2.578227996826172,2.578227996826172,12100,0.0,0
1973-06-01,0.0,2.6008440318860506,2.555611961766293,2.578227996826172,10100,0.0,0
1973-06-04,0.0,2.6008440318860506,2.555611961766293,2.578227996826172,26200,0.0,0
1973-06-05,0.0,2.578227996826172,2.555611961766293,2.578227996826172,7400,0.0,0
1973-06-06,0.0,2.6008440318860506,2.555611961766293,2.578227996826172,12700,0.0,0
1973-06-07,0.0,2.6008444022288364,2.555612325668335,2.555612325668335,12300,0.0,0
1973-06-08,0.0,2.578227996826172,2.555611961766293,2.578227996826172,8400,0.0,0
1973-06-11,0.0,2.578227996826172,2.555611961766293,2.578227996826172,14200,0.0,0
1973-06-12,0.0,2.6008440318860506,2.555611961766293,2.578227996826172,11000,0.0,0
1973-06-13,0.0,2.623460054397583,2.5782279844941765,2.623460054397583,16800,0.0,0
1973-06-14,0.0,2.623460054397583,2.5782279844941765,2.623460054397583,13300,0.0,0
1973-06-15,0.0,2.6234600669459294,2.555611961766293,2.578227996826172,9900,0.0,0
1973-06-18,0.0,2.5782283639485857,2.555612325668335,2.555612325668335,4800,0.0,0
1973-06-19,0.0,2.578227996826172,2.555611961766293,2.578227996826172,7400,0.0,0
1973-06-20,0.0,2.6008444022288364,2.555612325668335,2.555612325668335,7700,0.0,0
1973-06-21,0.0,2.6008440318860506,2.555611961766293,2.578227996826172,46000,0.0,0
1973-06-22,0.0,2.623460440509087,2.555612325668335,2.555612325668335,8900,0.0,0
1973-06-25,0.0,2.5782283639485857,2.555612325668335,2.555612325668335,12200,0.0,0
1973-06-26,0.0,2.600844383239746,2.55561230700949,2.600844383239746,4400,0.0,0
1973-06-27,0.0,2.646076459470003,2.600844383239746,2.600844383239746,17800,0.0,0
1973-06-28,0.0,2.646076459470003,2.600844383239746,2.600844383239746,12000,0.0,0
1973-06-29,0.0,2.646076459470003,2.55561230700949,2.600844383239746,8000,0.0,0
1973-07-02,0.0,2.6008444022288364,2.555612325668335,2.555612325668335,10300,0.0,0
1973-07-03,0.0,2.6234600669459294,2.555611961766293,2.578227996826172,15500,0.0,0
1973-07-05,0.0,2.6008444022288364,2.555612325668335,2.555612325668335,10300,0.0,0
1973-07-06,0.0,2.578227996826172,2.5329959267064144,2.578227996826172,14200,0.0,0
1973-07-09,0.0,2.600844383239746,2.55561230700949,2.600844383239746,7500,0.0,0
1973-07-10,0.0,2.623460440509087,2.555612325668335,2.555612325668335,5300,0.0,0
1973-07-11,0.0,2.623460054397583,2.5556119495424734,2.623460054397583,4300,0.0,0
1973-07-12,0.0,2.6234600669459294,2.578227996826172,2.578227996826172,6400,0.0,0
1973-07-13,0.0,2.6008444022288364,2.555612325668335,2.555612325668335,13400,0.0,0
1973-07-16,0.0,2.623460054397583,2.5556119495424734,2.623460054397583,9300,0.0,0
1973-07-17,0.0,2.623460440509087,2.555612325668335,2.555612325668335,6200,0.0,0
1973-07-18,0.0,2.578227996826172,2.555611961766293,2.578227996826172,10600,0.0,0
1973-07-19,0.0,2.5782283639485857,2.555612325668335,2.555612325668335,5500,0.0,0
1973-07-20,0.0,2.6008444022288364,2.5329962873880842,2.555612325668335,7600,0.0,0
1973-07-23,0.0,2.5782283639485857,2.5329962873880842,2.555612325668335,10900,0.0,0
1973-07-24,0.0,2.555611733879362,2.5329957008361816,2.5329957008361816,7100,0.0,0
1973-07-25,0.0,2.55561236504021,2.4651482105255127,2.4651482105255127,20800,0.0,0
1973-07-26,0.0,2.487764249154187,2.4651482105255127,2.4651482105255127,31500,0.0,0
1973-07-27,0.0,2.487762451171875,2.4425304066051137,2.487762451171875,9200,0.0,0
1973-07-30,0.0,2.4877638949288263,2.4425318241119385,2.4425318241119385,8900,0.0,0
1973-07-31,0.0,2.4651482105255127,2.442532171896838,2.4651482105255127,10100,0.0,0
1973-08-01,0.0,2.4425319511199666,2.35206780478219,2.4199159145355225,25100,0.0,0
1973-08-02,0.0,2.4199159145355225,2.35206780478219,2.4199159145355225,9900,0.0,0
1973-08-03,0.0,2.4199161733899794,2.3746840953826904,2.3746840953826904,14100,0.0,0
1973-08-06,0.0,2.4199159145355225,2.35206780478219,2.4199159145355225,15000,0.0,0
1973-08-07,0.0,2.4199165518467245,2.3520684242248535,2.3520684242248535,6800,0.0,0
1973-08-08,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,8100,0.0,0
1973-08-09,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,10200,0.0,0
1973-08-10,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,9800,0.0,0
1973-08-13,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,17800,0.0,0
1973-08-14,0.0,2.397300134386335,2.3520680563790455,2.3746840953826904,8300,0.0,0
1973-08-15,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,7800,0.0,0
1973-08-16,0.0,2.4199165518467245,2.3520684242248535,2.3520684242248535,6500,0.0,0
1973-08-17,0.0,2.4199161733899794,2.3520680563790455,2.3746840953826904,17800,0.0,0
1973-08-20,0.0,2.397300134386335,2.3746840953826904,2.3746840953826904,6200,0.0,0
1973-08-21,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,8200,0.0,0
1973-08-22,0.0,2.4199161733899794,2.3746840953826904,2.3746840953826904,8600,0.0,0
1973-08-23,0.0,2.397300134386335,2.3746840953826904,2.3746840953826904,5300,0.0,0
1973-08-24,0.0,2.442532080524373,2.3746839671764737,2.3973000049591064,3800,0.0,0
1973-08-27,0.0,2.374684466765477,2.3294523816842303,2.3520684242248535,11200,0.0,0
1973-08-28,0.0,2.3973000049591064,2.3294518916112072,2.3973000049591064,8300,0.0,0
1973-08-29,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,5600,0.0,0
1973-08-30,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,10000,0.0,0
1973-08-31,0.0,2.397300509306101,2.3294523816842303,2.3520684242248535,30800,0.0,0
1973-09-04,0.0,2.374684466765477,2.3294523816842303,2.3520684242248535,9100,0.0,0
1973-09-05,0.0,2.3746840953826904,2.3520680563790455,2.3746840953826904,7100,0.0,0
1973-09-06,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,16800,0.0,0
1973-09-07,0.0,2.4425319511199666,2.3746838413666342,2.4199159145355225,28700,0.0,0
1973-09-10,0.0,2.4425322123936244,2.3746840953826904,2.3746840953826904,18200,0.0,0
1973-09-11,0.0,2.4199160427417397,2.3746839671764737,2.3973000049591064,7500,0.0,0
1973-09-12,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,25900,0.0,0
1973-09-13,0.0,2.397300134386335,2.3520680563790455,2.3746840953826904,8700,0.0,0
1973-09-14,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,7100,0.0,0
1973-09-17,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,7500,0.0,0
1973-09-18,0.0,2.397300509306101,2.3520684242248535,2.3520684242248535,18900,0.0,0
1973-09-19,0.0,2.3746840953826904,2.329452017375401,2.3746840953826904,51000,0.0,0
1973-09-20,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,11800,0.0,0
1973-09-21,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,8900,0.0,0
1973-09-24,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,9800,0.0,0
1973-09-25,0.0,2.3973000049591064,2.3520679293938405,2.3973000049591064,30400,0.0,0
1973-09-26,0.0,2.487762451171875,2.3972983620383523,2.487762451171875,11300,0.0,0
1973-09-27,0.0,2.487764024288855,2.4199159145355225,2.4199159145355225,31500,0.0,0
1973-09-28,0.0,2.487764249154187,2.419916133268164,2.4651482105255127,17100,0.0,0
1973-10-01,0.0,2.487762451171875,2.419914384321733,2.487762451171875,10700,0.0,0
1973-10-02,0.0,2.487762451171875,2.4425304066051137,2.487762451171875,11500,0.0,0
1973-10-03,0.0,2.487764249154187,2.4651482105255127,2.4651482105255127,15700,0.0,0
1973-10-04,0.0,2.487762451171875,2.4651464288884943,2.487762451171875,9700,0.0,0
1973-10-05,0.0,2.4877638949288263,2.4425318241119385,2.4425318241119385,6300,0.0,0
1973-10-08,0.0,2.4877638949288263,2.4199157887034946,2.4425318241119385,8900,0.0,0
1973-10-09,0.0,2.4651481183070056,2.3973000049591064,2.3973000049591064,10400,0.0,0
1973-10-10,0.0,2.4651479877044107,2.3972998779510784,2.4199159145355225,7200,0.0,0
1973-10-11,0.0,2.4877638949288263,2.4199157887034946,2.4425318241119385,11700,0.0,0
