,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,12000000.0,7000000.0,53000000.0,42000000.0
Change To Liabilities,703000000.0,232000000.0,1951000000.0,24000000.0
Total Cashflows From Investing Activities,-578000000.0,-694000000.0,-635000000.0,-1037000000.0
Net Borrowings,-817000000.0,-1452000000.0,-3728000000.0,-51000000.0
Total Cash From Financing Activities,-1654000000.0,-1384000000.0,-4532000000.0,-777000000.0
Change To Operating Activities,304000000.0,254000000.0,-24000000.0,78000000.0
Net Income,634000000.0,625000000.0,3285000000.0,636000000.0
Change In Cash,31000000.0,-73000000.0,-12000000.0,92000000.0
Total Cash From Operating Activities,2263000000.0,2005000000.0,5155000000.0,1906000000.0
Depreciation,943000000.0,940000000.0,954000000.0,963000000.0
Other Cashflows From Investing Activities,27000000.0,30000000.0,10000000.0,2000000.0
Dividends Paid,-484000000.0,-491000000.0,-406000000.0,-396000000.0
Change To Inventory,-138000000.0,204000000.0,30000000.0,27000000.0
Change To Account Receivables,-560000000.0,-562000000.0,-1424000000.0,-176000000.0
Other Cashflows From Financing Activities,-353000000.0,-330000000.0,-398000000.0,-330000000.0
Change To Netincome,377000000.0,312000000.0,383000000.0,354000000.0
Capital Expenditures,-617000000.0,-731000000.0,-698000000.0,-1100000000.0
