,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,246285000.0,106056000.0,-177258000.0,-49105000.0
Change To Liabilities,0.0,0.0,0.0,17862000.0
Total Cashflows From Investing Activities,-1454658000.0,100807000.0,-181010000.0,-53022000.0
Net Borrowings,-2444000.0,981000000.0,-29740000.0,-2157000.0
Total Cash From Financing Activities,-67143000.0,664688000.0,-39378000.0,-101292000.0
Change To Operating Activities,-8931000.0,-6738000.0,-27325000.0,57344000.0
Issuance Of Stock,2830000.0,4107000.0,3930000.0,6833000.0
Net Income,89930000.0,98254000.0,143766000.0,148538000.0
Change In Cash,-1434480000.0,890204000.0,-80421000.0,99125000.0
Repurchase Of Stock,-67081000.0,-221691000.0,-14802000.0,-105396000.0
Effect Of Exchange Rate,-3609000.0,3012000.0,-8498000.0,9772000.0
Total Cash From Operating Activities,90930000.0,121697000.0,148465000.0,243667000.0
Depreciation,19211000.0,12985000.0,13080000.0,-19599000.0
Other Cashflows From Financing Activities,-448000.0,-98728000.0,1234000.0,-572000.0
Change To Netincome,-13280000.0,17196000.0,18944000.0,26611000.0
Capital Expenditures,-3823000.0,-1391000.0,-526000.0,-1937000.0
Change To Account Receivables,,,,-22540000.0
