,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1425000000.0,1457000000.0,1479000000.0,2413000000.0
Capital Surplus,14176000000.0,13995000000.0,13919000000.0,13566000000.0
Total Liab,18342000000.0,21088000000.0,18156000000.0,14664000000.0
Total Stockholder Equity,1603000000.0,1096000000.0,1209000000.0,1510000000.0
Minority Interest,1488000000.0,1486000000.0,1479000000.0,1494000000.0
Other Current Liab,6821000000.0,9544000000.0,7101000000.0,3839000000.0
Total Assets,21944000000.0,24181000000.0,21866000000.0,18690000000.0
Other Current Assets,2178000000.0,3496000000.0,2838000000.0,1161000000.0
Retained Earnings,-2147000000.0,-2531000000.0,-2359000000.0,-1781000000.0
Other Liab,493000000.0,487000000.0,479000000.0,529000000.0
Good Will,7318000000.0,7370000000.0,7363000000.0,7380000000.0
Treasury Stock,-10426000000.0,-10368000000.0,-10351000000.0,-10275000000.0
Other Assets,798000000.0,850000000.0,784000000.0,662000000.0
Cash,5031000000.0,5464000000.0,4291000000.0,3363000000.0
Total Current Liabilities,9751000000.0,11713000000.0,8774000000.0,5406000000.0
Deferred Long Term Asset Charges,798000000.0,850000000.0,782000000.0,659000000.0
Short Long Term Debt,753000000.0,,,
Other Stockholder Equity,-221000000.0,-186000000.0,-199000000.0,-178000000.0
Property Plant Equipment,2705000000.0,2728000000.0,2739000000.0,1933000000.0
Total Current Assets,9043000000.0,11113000000.0,8836000000.0,5634000000.0
Long Term Investments,655000000.0,663000000.0,665000000.0,668000000.0
Net Tangible Assets,-7140000000.0,-7731000000.0,-7633000000.0,-8283000000.0
Net Receivables,1587000000.0,1839000000.0,1399000000.0,821000000.0
Long Term Debt,7712000000.0,8480000000.0,8464000000.0,8216000000.0
Accounts Payable,1264000000.0,1157000000.0,727000000.0,602000000.0
Short Term Investments,,11000000.0,23000000.0,24000000.0
