,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,21000000.0,8100000.0,-3400000.0,16300000.0
Total Cashflows From Investing Activities,-31500000.0,-29900000.0,-42900000.0,-30100000.0
Total Cash From Financing Activities,-153800000.0,-154200000.0,-370500000.0,-131400000.0
Change To Operating Activities,-10400000.0,10100000.0,-6100000.0,10200000.0
Issuance Of Stock,7000000.0,6600000.0,2700000.0,12000000.0
Net Income,239700000.0,210600000.0,196100000.0,221500000.0
Change In Cash,-12100000.0,88200000.0,-86100000.0,130300000.0
Effect Of Exchange Rate,1700000.0,-2500000.0,6300000.0,2800000.0
Total Cash From Operating Activities,171500000.0,274800000.0,321000000.0,289000000.0
Depreciation,42300000.0,42000000.0,42000000.0,41100000.0
Dividends Paid,-160800000.0,-160800000.0,-143657143.0,-143400000.0
Change To Inventory,-20500000.0,31100000.0,13200000.0,63600000.0
Change To Account Receivables,-55900000.0,-82100000.0,69100000.0,48400000.0
Change To Netincome,1100000.0,1100000.0,2200000.0,4800000.0
Capital Expenditures,-34600000.0,-32700000.0,-44600000.0,-33500000.0
Other Cashflows From Investing Activities,,100000.0,-300000.0,-100000.0
