,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,463000000.0,58000000.0,335000000.0,242000000.0
Change To Liabilities,0.0,84000000.0,43000000.0,-66000000.0
Total Cashflows From Investing Activities,,-675000000.0,-499000000.0,-737000000.0
Net Borrowings,,46000000.0,-279000000.0,1896000000.0
Total Cash From Financing Activities,,-153000000.0,-509000000.0,1670000000.0
Change To Operating Activities,,245000000.0,-129000000.0,31000000.0
Change In Cash,,-14000000.0,-475000000.0,1505000000.0
Total Cash From Operating Activities,,814000000.0,533000000.0,572000000.0
Depreciation,,328000000.0,362000000.0,422000000.0
Other Cashflows From Investing Activities,,-53000000.0,-50000000.0,-61000000.0
Dividends Paid,,-212000000.0,-212000000.0,-211000000.0
Change To Inventory,,29000000.0,14000000.0,-9000000.0
Change To Account Receivables,,-40000000.0,161000000.0,-96000000.0
Other Cashflows From Financing Activities,,13000000.0,-18000000.0,-15000000.0
Change To Netincome,,39000000.0,-97000000.0,-143000000.0
Capital Expenditures,,-622000000.0,-604000000.0,-678000000.0
