,2021-10-31,2021-07-31,2021-04-30,2020-10-31
Total Liab,10157000000.0,8675000000.0,8675000000.0,
Total Stockholder Equity,5157000000.0,4810000000.0,4810000000.0,4371000000.0
Other Current Liab,3192000000.0,439000000.0,439000000.0,
Total Assets,15314000000.0,13485000000.0,13485000000.0,
Common Stock,5157000000.0,30000000.0,30000000.0,
Other Current Assets,3000000.0,8000000.0,8000000.0,
Other Liab,685000000.0,477000000.0,477000000.0,
Good Will,1883000000.0,1757000000.0,1757000000.0,
Other Assets,1341000000.0,873000000.0,873000000.0,
Cash,2166000000.0,1335000000.0,1335000000.0,
Total Current Liabilities,6405000000.0,4843000000.0,4843000000.0,
Property Plant Equipment,2418000000.0,2200000000.0,2200000000.0,
Total Current Assets,9672000000.0,8104000000.0,8104000000.0,
Net Tangible Assets,3274000000.0,2507000000.0,2507000000.0,2129000000.0
Net Receivables,3066000000.0,3280000000.0,3280000000.0,
Long Term Debt,2271000000.0,2528000000.0,2528000000.0,
Inventory,3660000000.0,3426000000.0,3426000000.0,
Accounts Payable,3213000000.0,3234000000.0,3234000000.0,
Intangible Assets,,546000000.0,546000000.0,
Capital Surplus,,9000000.0,9000000.0,
Retained Earnings,,6158000000.0,6158000000.0,
Treasury Stock,,-1387000000.0,-1387000000.0,
Deferred Long Term Asset Charges,,303000000.0,303000000.0,
Other Stockholder Equity,,-398000000.0,-398000000.0,
Long Term Investments,,5000000.0,5000000.0,
