,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-2233000000.0,1666000000.0,-2070000000.0,-1963000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-2713000000.0,2710000000.0,-2322000000.0,-309000000.0
Net Borrowings,-1138000000.0,-2339000000.0,-188000000.0,-61000000.0
Total Cash From Financing Activities,1402000000.0,-3036000000.0,2663000000.0,2104000000.0
Change To Operating Activities,98000000.0,-41000000.0,110000000.0,-292000000.0
Net Income,704000000.0,709000000.0,694000000.0,604000000.0
Change In Cash,-72000000.0,163000000.0,-25000000.0,151000000.0
Repurchase Of Stock,-550000000.0,-347000000.0,-180000000.0,-180000000.0
Total Cash From Operating Activities,1239000000.0,489000000.0,-366000000.0,-1644000000.0
Depreciation,128000000.0,121000000.0,122000000.0,134000000.0
Other Cashflows From Investing Activities,5000000.0,4000000.0,11000000.0,3000000.0
Other Cashflows From Financing Activities,3090000000.0,-121000000.0,3246000000.0,2165000000.0
Change To Netincome,351000000.0,-459000000.0,-1008000000.0,-2270000000.0
Capital Expenditures,-75000000.0,-89000000.0,-60000000.0,-62000000.0
Dividends Paid,,-229000000.0,-215000000.0,-215000000.0
