,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2369457000.0,2265574000.0,2050919000.0,2115882000.0
Capital Surplus,2850143000.0,2821453000.0,2794991000.0,2749900000.0
Total Liab,10279398000.0,9538036000.0,8130975000.0,7839168000.0
Total Stockholder Equity,3174985000.0,3488847000.0,3296499000.0,3355411000.0
Deferred Long Term Liab,6500000.0,6700000.0,7400000.0,43600000.0
Other Current Liab,1677897000.0,1726952000.0,1276967000.0,1437926000.0
Total Assets,13454383000.0,13026883000.0,11427474000.0,11194579000.0
Common Stock,127000.0,127000.0,127000.0,126000.0
Other Current Assets,844337000.0,891496000.0,580500000.0,696119000.0
Retained Earnings,6031438000.0,5797431000.0,5601184000.0,5416945000.0
Other Liab,807147000.0,802917000.0,707242000.0,629931000.0
Good Will,5102263000.0,5058174000.0,4693469000.0,4719181000.0
Treasury Stock,-5706723000.0,-5130164000.0,-5099803000.0,-4811560000.0
Other Assets,225872000.0,220454000.0,185695000.0,116409000.0
Cash,1271000000.0,1301207000.0,958322000.0,934900000.0
Total Current Liabilities,5666270000.0,4980418000.0,4313978000.0,3968311000.0
Short Long Term Debt,201397000.0,310080000.0,207253000.0,211319000.0
Other Stockholder Equity,-1436044000.0,-1265177000.0,-1481019000.0,-1363158000.0
Property Plant Equipment,220643000.0,216681000.0,200161000.0,279309000.0
Total Current Assets,5524291000.0,5254143000.0,4285373000.0,3956318000.0
Long Term Investments,11857000.0,11857000.0,11857000.0,7480000.0
Net Tangible Assets,-4296735000.0,-3834901000.0,-3447889000.0,-3479652000.0
Net Receivables,3169523000.0,2787155000.0,2505624000.0,2066775000.0
Long Term Debt,3805981000.0,3754701000.0,3109755000.0,3165526000.0
Accounts Payable,1726705000.0,1578266000.0,1348983000.0,1054478000.0
