,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,107671263000.0,103412000000.0,104066709000.0,102990009000.0
Capital Surplus,17510294000.0,17808000000.0,17722161000.0,17616731000.0
Total Liab,389213644000.0,377661000000.0,409763804000.0,421130038000.0
Total Stockholder Equity,235080709000.0,237743000000.0,246613042000.0,249641932000.0
Minority Interest,64745272000.0,69444000000.0,72731762000.0,73875494000.0
Other Current Liab,53475821000.0,25603000000.0,51123857000.0,54545137000.0
Total Assets,689039625000.0,684848000000.0,729108608000.0,744647464000.0
Common Stock,3347673000.0,3348000000.0,2980971000.0,2981023000.0
Other Current Assets,3540408000.0,1732000000.0,4243515000.0,4998702000.0
Retained Earnings,214309995000.0,217430000000.0,218639200000.0,215522306000.0
Other Liab,26242313000.0,27848000000.0,27683469000.0,29726201000.0
Good Will,45798542000.0,52820000000.0,56223917000.0,61455889000.0
Treasury Stock,-87253000.0,-843000000.0,7270710000.0,13521872000.0
Other Assets,31312032000.0,44104000000.0,31587778000.0,31056584000.0
Cash,113326934000.0,107624000000.0,134459957000.0,140240015000.0
Total Current Liabilities,127398790000.0,118413000000.0,135107999000.0,158213667000.0
Deferred Long Term Asset Charges,23375803000.0,22043000000.0,23180670000.0,22176381000.0
Short Long Term Debt,2499931000.0,4332000000.0,2499999000.0,2500000000.0
Other Stockholder Equity,-87253000.0,-843000000.0,7270710000.0,13521872000.0
Property Plant Equipment,165970922000.0,167853000000.0,168484954000.0,169019181000.0
Total Current Assets,204868080000.0,201269000000.0,227443911000.0,233560160000.0
Long Term Investments,133418786000.0,115390000000.0,141301339000.0,146565641000.0
Net Tangible Assets,81610904000.0,81511000000.0,86322416000.0,85196034000.0
Short Term Investments,1239909000.0,662000000.0,3736479000.0,3917981000.0
Net Receivables,43290905000.0,45385000000.0,44558556000.0,42674840000.0
Long Term Debt,183790767000.0,179864000000.0,196873256000.0,184194285000.0
Inventory,43469924000.0,45685000000.0,40445404000.0,41728622000.0
Accounts Payable,52047010000.0,75168000000.0,49259595000.0,50802492000.0
