,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,443000000.0,-6598590110.0,-1421821000.0,12624052110.0
Change To Liabilities,-654000000.0,3105000000.0,2312000000.0,-3208000000.0
Total Cashflows From Investing Activities,-2267999890.0,-15782572110.0,-5309217000.0,-7134843890.0
Net Borrowings,-2785000000.0,-6736000000.0,-6892000000.0,16492000000.0
Total Cash From Financing Activities,-5658408000.0,-20665559000.0,-13614087000.0,11413897000.0
Change To Operating Activities,-396714000.0,2988714000.0,-727964000.0,309268000.0
Net Income,4566163000.0,-1238102000.0,3222774000.0,-11695404000.0
Change In Cash,5702828000.0,-26835726000.0,-5780058000.0,6770052000.0
Effect Of Exchange Rate,637998000.0,-10284664000.0,-1552100000.0,-3910352000.0
Total Cash From Operating Activities,12991238000.0,19897069000.0,14695346000.0,6401351000.0
Depreciation,6823000000.0,7299000000.0,6973000000.0,6943000000.0
Other Cashflows From Investing Activities,551000110.0,579564000.0,2094087000.0,2932624000.0
Change To Inventory,551000000.0,-3466000000.0,1084000000.0,824000000.0
Change To Account Receivables,1314000000.0,-2610000000.0,1000000.0,2161000000.0
Other Cashflows From Financing Activities,-2873408000.0,-13929559000.0,-1461087000.0,-2384103000.0
Change To Netincome,787789000.0,13818457000.0,1833717000.0,11070659000.0
Capital Expenditures,-3216000000.0,-5676170000.0,-4613000000.0,-4022830000.0
Dividends Paid,,,-5261000000.0,-2694000000.0
