,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Capital Surplus,18700000.0,17100000.0,15600000.0,14000000.0
Total Liab,155500000.0,155600000.0,144100000.0,149100000.0
Total Stockholder Equity,5829200000.0,5799500000.0,5603100000.0,5443800000.0
Deferred Long Term Liab,1400000.0,1100000.0,1200000.0,1300000.0
Other Current Liab,15100000.0,5000000.0,8100000.0,12400000.0
Total Assets,5984700000.0,5955100000.0,5747200000.0,5592900000.0
Common Stock,5611100000.0,5600000000.0,5588200000.0,5580100000.0
Other Current Assets,31600000.0,24200000.0,22900000.0,19200000.0
Retained Earnings,321300000.0,212900000.0,93800000.0,-34400000.0
Other Liab,112400000.0,119200000.0,102800000.0,95900000.0
Treasury Stock,-121900000.0,-30500000.0,-94500000.0,-115900000.0
Other Assets,63100000.0,96700000.0,101200000.0,88400000.0
Cash,346700000.0,197700000.0,538500000.0,534200000.0
Total Current Liabilities,43100000.0,36400000.0,41300000.0,53200000.0
Deferred Long Term Asset Charges,51200000.0,46700000.0,51800000.0,45100000.0
Other Stockholder Equity,-121900000.0,-30500000.0,-94500000.0,-115900000.0
Property Plant Equipment,5131500000.0,5229700000.0,4756000000.0,4639500000.0
Total Current Assets,584900000.0,358900000.0,677000000.0,663700000.0
Long Term Investments,205200000.0,269800000.0,213000000.0,201300000.0
Net Tangible Assets,5829200000.0,5799500000.0,5603100000.0,5443800000.0
Net Receivables,186800000.0,115700000.0,102300000.0,93400000.0
Inventory,600000.0,900000.0,2800000.0,500000.0
Accounts Payable,28000000.0,31400000.0,33200000.0,3500000.0
