,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,391000000.0,344000000.0,466000000.0,433000000.0
Minority Interest,1616000000.0,1569000000.0,1574000000.0,1587000000.0
Net Income,311000000.0,269000000.0,371000000.0,348000000.0
Selling General Administrative,-14000000.0,-12000000.0,-11000000.0,-31000000.0
Gross Profit,978000000.0,926000000.0,1040000000.0,997000000.0
Ebit,612000000.0,569000000.0,679000000.0,681000000.0
Operating Income,612000000.0,569000000.0,679000000.0,681000000.0
Other Operating Expenses,,,,
Interest Expense,-244000000.0,-255000000.0,-252000000.0,-299000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,49000000.0,48000000.0,70000000.0,57000000.0
Total Revenue,2196000000.0,2130000000.0,2539000000.0,2346000000.0
Total Operating Expenses,1584000000.0,1561000000.0,1860000000.0,1665000000.0
Cost Of Revenue,1218000000.0,1204000000.0,1499000000.0,1349000000.0
Total Other Income Expense Net,-221000000.0,-225000000.0,-213000000.0,-248000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,342000000.0,296000000.0,396000000.0,376000000.0
Net Income Applicable To Common Shares,295000000.0,253000000.0,355000000.0,331000000.0
