,2021-10-01,2021-07-02,2021-04-02,2020-12-31
Change To Liabilities,5700000.0,22100000.0,-13000000.0,-92900000.0
Total Cashflows From Investing Activities,-1168500000.0,-6500000.0,-8600000.0,-43300000.0
Net Borrowings,215000000.0,215000000.0,-611100000.0,-1480800000.0
Total Cash From Financing Activities,182700000.0,-12900000.0,-654900000.0,64100000.0
Change To Operating Activities,19600000.0,2100000.0,-76800000.0,97300000.0
Net Income,150800000.0,180900000.0,110200000.0,1215600000.0
Change In Cash,-727400000.0,266200000.0,-525200000.0,335700000.0
Effect Of Exchange Rate,-3800000.0,6100000.0,-6500000.0,30100000.0
Total Cash From Operating Activities,262200000.0,279500000.0,144800000.0,284800000.0
Depreciation,98800000.0,95700000.0,97000000.0,31400000.0
Dividends Paid,-25200000.0,-40900000.0,-41000000.0,-58200000.0
Change To Inventory,-22100000.0,-20200000.0,-3800000.0,2900000.0
Change To Account Receivables,-8600000.0,15100000.0,-26900000.0,-65400000.0
Other Cashflows From Financing Activities,-7100000.0,28000000.0,-2800000.0,1603100000.0
Change To Netincome,18000000.0,-16200000.0,58100000.0,-904100000.0
Capital Expenditures,-10900000.0,-8700000.0,-8400000.0,10500000.0
Other Cashflows From Investing Activities,,1100000.0,1100000.0,-38100000.0
