,2021-08-29,2021-05-30,2021-02-28,2020-11-29
Investments,5700000.0,-2600000.0,-2600000.0,18800000.0
Change To Liabilities,-214900000.0,188400000.0,-11100000.0,211700000.0
Total Cashflows From Investing Activities,-1297900000.0,-180800000.0,-120700000.0,-88300000.0
Net Borrowings,668800000.0,-1281400000.0,63900000.0,337500000.0
Total Cash From Financing Activities,195000000.0,-1862800000.0,-499100000.0,19100000.0
Change To Operating Activities,86800000.0,-293500000.0,41100000.0,40700000.0
Issuance Of Stock,7900000.0,34900000.0,8300000.0,1100000.0
Net Income,627000000.0,416800000.0,595700000.0,688400000.0
Change In Cash,-751200000.0,-1249000000.0,171400000.0,786100000.0
Repurchase Of Stock,-150100000.0,-300800000.0,-500000.0,-100000.0
Effect Of Exchange Rate,-18100000.0,19300000.0,10100000.0,12100000.0
Total Cash From Operating Activities,369800000.0,775300000.0,781100000.0,843200000.0
Depreciation,145800000.0,146800000.0,159400000.0,149000000.0
Other Cashflows From Investing Activities,-1300000.0,2400000.0,-1900000.0,2000000.0
Dividends Paid,-312300000.0,-314000000.0,-314700000.0,-314900000.0
Change To Inventory,-116100000.0,-52500000.0,-43600000.0,-100000000.0
Change To Account Receivables,-145300000.0,147100000.0,16000000.0,-142400000.0
Other Cashflows From Financing Activities,-19300000.0,-1500000.0,-256100000.0,-4500000.0
Change To Netincome,-13500000.0,222200000.0,23600000.0,-4200000.0
Capital Expenditures,-104000000.0,-184400000.0,-120200000.0,-109200000.0
