,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,2000000.0,85000000.0,85000000.0,85000000.0
Change To Liabilities,269000000.0,183000000.0,-27000000.0,196000000.0
Total Cashflows From Investing Activities,-388000000.0,-127000000.0,-288000000.0,-378000000.0
Net Borrowings,-381000000.0,-435000000.0,-25000000.0,-190000000.0
Total Cash From Financing Activities,-601000000.0,-1199000000.0,-190000000.0,-314000000.0
Change To Operating Activities,-43000000.0,-252000000.0,-26000000.0,-6000000.0
Issuance Of Stock,9000000.0,31000000.0,51000000.0,75000000.0
Net Income,371000000.0,449000000.0,599000000.0,252000000.0
Change In Cash,-108000000.0,-548000000.0,196000000.0,158000000.0
Repurchase Of Stock,-23000000.0,-56000000.0,-56000000.0,-56000000.0
Effect Of Exchange Rate,-14000000.0,7000000.0,-49000000.0,76000000.0
Total Cash From Operating Activities,895000000.0,771000000.0,723000000.0,774000000.0
Depreciation,371000000.0,369000000.0,362000000.0,392000000.0
Other Cashflows From Investing Activities,11000000.0,17000000.0,-23000000.0,-1000000.0
Dividends Paid,-217000000.0,-234000000.0,-208000000.0,-200000000.0
Change To Inventory,-90000000.0,-26000000.0,44000000.0,183000000.0
Change To Account Receivables,-97000000.0,-158000000.0,109000000.0,7000000.0
Other Cashflows From Financing Activities,11000000.0,2000000.0,-8000000.0,1000000.0
Change To Netincome,114000000.0,206000000.0,-338000000.0,-250000000.0
Capital Expenditures,-401000000.0,-324000000.0,-289000000.0,-391000000.0
