,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-1544000000.0,1624000000.0,-551000000.0,-656000000.0
Change To Liabilities,0.0,0.0,0.0,681000000.0
Total Cashflows From Investing Activities,-1621000000.0,1545000000.0,-579000000.0,-714000000.0
Net Borrowings,-21000000.0,-17000000.0,-12000000.0,-14000000.0
Total Cash From Financing Activities,24000000.0,-240000000.0,-220000000.0,33000000.0
Change To Operating Activities,-651000000.0,-605000000.0,500000000.0,-1487000000.0
Issuance Of Stock,56000000.0,26000000.0,20000000.0,53000000.0
Net Income,890000000.0,306000000.0,1096000000.0,581000000.0
Change In Cash,-748000000.0,1585000000.0,632000000.0,-1632000000.0
Repurchase Of Stock,-11000000.0,-249000000.0,-228000000.0,-6000000.0
Effect Of Exchange Rate,402000000.0,-75000000.0,246000000.0,-153000000.0
Total Cash From Operating Activities,447000000.0,355000000.0,1185000000.0,-798000000.0
Depreciation,14000000.0,15000000.0,11000000.0,241000000.0
Change To Netincome,194000000.0,639000000.0,-422000000.0,-1120000000.0
Capital Expenditures,-77000000.0,-79000000.0,-28000000.0,-58000000.0
Change To Account Receivables,,,,306000000.0
