,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,935000000.0,1037000000.0,1204000000.0,1462000000.0
Minority Interest,8472000000.0,8485000000.0,8405000000.0,8369000000.0
Net Income,347000000.0,411000000.0,538000000.0,685000000.0
Selling General Administrative,31000000.0,50000000.0,39000000.0,23000000.0
Gross Profit,1063000000.0,1189000000.0,1258000000.0,1435000000.0
Ebit,933000000.0,1019000000.0,1107000000.0,1659000000.0
Operating Income,933000000.0,1019000000.0,1107000000.0,1659000000.0
Other Operating Expenses,36000000.0,46000000.0,52000000.0,96000000.0
Interest Expense,-90000000.0,-81000000.0,-85000000.0,-81000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,323000000.0,343000000.0,374000000.0,404000000.0
Total Revenue,2826000000.0,2893000000.0,2956000000.0,3279000000.0
Total Operating Expenses,1893000000.0,1874000000.0,1849000000.0,1620000000.0
Cost Of Revenue,1763000000.0,1704000000.0,1698000000.0,1844000000.0
Total Other Income Expense Net,2000000.0,18000000.0,97000000.0,-197000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,612000000.0,694000000.0,830000000.0,1058000000.0
Net Income Applicable To Common Shares,347000000.0,411000000.0,538000000.0,685000000.0
