,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,298974000.0,269607000.0,285859000.0,225546000.0
Minority Interest,13381000.0,11266000.0,11546000.0,13207000.0
Net Income,228585000.0,196496000.0,217710000.0,171204000.0
Selling General Administrative,1330565000.0,1263673000.0,1186966000.0,1121115000.0
Gross Profit,1710767000.0,1689105000.0,1540815000.0,1448110000.0
Ebit,303797000.0,346435000.0,276644000.0,257112000.0
Operating Income,303797000.0,346435000.0,276644000.0,257112000.0
Other Operating Expenses,,,,
Interest Expense,-14958000.0,-16107000.0,-19062000.0,-21495000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,70389000.0,73111000.0,68149000.0,53914000.0
Total Revenue,4818849000.0,4783738000.0,4464714000.0,4251594000.0
Total Operating Expenses,4515052000.0,4437303000.0,4188070000.0,3994482000.0
Cost Of Revenue,3108082000.0,3094633000.0,2923899000.0,2803484000.0
Total Other Income Expense Net,-4823000.0,-76828000.0,9215000.0,-31566000.0
Discontinued Operations,,,,-428000.0
Net Income From Continuing Ops,228585000.0,196496000.0,217710000.0,171632000.0
Net Income Applicable To Common Shares,228585000.0,196496000.0,217710000.0,171204000.0
