,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,355580000.0,327621000.0,219085000.0,202798000.0
Minority Interest,207322000.0,156377000.0,150429000.0,154674000.0
Net Income,296736000.0,263590000.0,196681000.0,182644000.0
Selling General Administrative,782682000.0,760269000.0,697702000.0,738516000.0
Gross Profit,1258165000.0,1201127000.0,1064761000.0,1046598000.0
Ebit,475483000.0,440858000.0,367059000.0,308082000.0
Operating Income,475483000.0,440858000.0,367059000.0,308082000.0
Other Operating Expenses,,,,
Interest Expense,-82300000.0,-79000000.0,-81200000.0,-82500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,50117000.0,60808000.0,20675000.0,17980000.0
Total Revenue,2202337000.0,2137437000.0,1990007000.0,1930193000.0
Total Operating Expenses,1726854000.0,1696579000.0,1622948000.0,1622111000.0
Cost Of Revenue,944172000.0,936310000.0,925246000.0,883595000.0
Total Other Income Expense Net,-119903000.0,-113237000.0,-147974000.0,-105284000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,305463000.0,266813000.0,198410000.0,184818000.0
Net Income Applicable To Common Shares,296736000.0,263590000.0,196681000.0,182644000.0
