,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,422000000.0,319000000.0,343000000.0,259000000.0
Minority Interest,290000000.0,273000000.0,264000000.0,265000000.0
Net Income,297000000.0,225000000.0,238000000.0,168000000.0
Selling General Administrative,812000000.0,790000000.0,735000000.0,655000000.0
Gross Profit,1250000000.0,1124000000.0,1093000000.0,1027000000.0
Ebit,438000000.0,334000000.0,358000000.0,312000000.0
Operating Income,438000000.0,334000000.0,358000000.0,312000000.0
Other Operating Expenses,,,,
Interest Expense,-22000000.0,-22000000.0,-21000000.0,-21000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,107000000.0,76000000.0,88000000.0,74000000.0
Total Revenue,3372000000.0,3207000000.0,3084000000.0,2941000000.0
Total Operating Expenses,2934000000.0,2873000000.0,2726000000.0,2629000000.0
Cost Of Revenue,2122000000.0,2083000000.0,1991000000.0,1914000000.0
Total Other Income Expense Net,-16000000.0,-15000000.0,-15000000.0,-53000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,315000000.0,243000000.0,255000000.0,185000000.0
Net Income Applicable To Common Shares,297000000.0,225000000.0,238000000.0,168000000.0
