,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Capital Surplus,24000000.0,26000000.0,34000000.0,
Total Liab,15332000000.0,15488000000.0,15396000000.0,15697000000.0
Total Stockholder Equity,5681000000.0,5420000000.0,5170000000.0,4974000000.0
Minority Interest,12000000.0,9000000.0,9000000.0,9000000.0
Other Current Liab,1083000000.0,1153000000.0,1212000000.0,1069000000.0
Total Assets,21025000000.0,20917000000.0,20575000000.0,20680000000.0
Common Stock,2666000000.0,2666000000.0,2666000000.0,2666000000.0
Other Current Assets,920000000.0,1455000000.0,1475000000.0,1492000000.0
Retained Earnings,8927000000.0,8896000000.0,8709000000.0,8691000000.0
Other Liab,1354000000.0,1342000000.0,1326000000.0,1268000000.0
Good Will,2841000000.0,2804000000.0,2804000000.0,2804000000.0
Treasury Stock,-5936000000.0,-6168000000.0,-6239000000.0,-6383000000.0
Other Assets,3185000000.0,3237000000.0,3260000000.0,3177000000.0
Cash,2632000000.0,2658000000.0,2446000000.0,2563000000.0
Total Current Liabilities,3946000000.0,4334000000.0,4225000000.0,4421000000.0
Deferred Long Term Asset Charges,2149000000.0,2174000000.0,2165000000.0,2166000000.0
Short Long Term Debt,11000000.0,515000000.0,515000000.0,695000000.0
Other Stockholder Equity,-360000000.0,-360000000.0,-362000000.0,-362000000.0
Property Plant Equipment,5219000000.0,4949000000.0,4991000000.0,5224000000.0
Total Current Assets,9431000000.0,9927000000.0,9520000000.0,9475000000.0
Long Term Investments,349000000.0,,,
Net Tangible Assets,2840000000.0,2616000000.0,2366000000.0,2170000000.0
Net Receivables,3525000000.0,3459000000.0,3250000000.0,3071000000.0
Long Term Debt,9125000000.0,9124000000.0,9127000000.0,9132000000.0
Inventory,2354000000.0,2355000000.0,2349000000.0,2349000000.0
Accounts Payable,2011000000.0,1891000000.0,1769000000.0,1573000000.0
