,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,125000000.0,118000000.0,205000000.0,-1000000.0
Total Cashflows From Investing Activities,-87000000.0,-159000000.0,-62000000.0,-142000000.0
Net Borrowings,-504000000.0,-4000000.0,-188000000.0,-1000000.0
Total Cash From Financing Activities,-542000000.0,-45000000.0,-223000000.0,-35000000.0
Net Income,236000000.0,227000000.0,170000000.0,-235000000.0
Change In Cash,-26000000.0,212000000.0,-117000000.0,448000000.0
Effect Of Exchange Rate,-14000000.0,7000000.0,-35000000.0,-13000000.0
Total Cash From Operating Activities,617000000.0,409000000.0,203000000.0,638000000.0
Depreciation,224000000.0,223000000.0,226000000.0,229000000.0
Other Cashflows From Investing Activities,-26000000.0,-15000000.0,-16000000.0,-11000000.0
Dividends Paid,-41000000.0,-40000000.0,-40000000.0,-40000000.0
Change To Inventory,3000000.0,-5000000.0,-1000000.0,225000000.0
Change To Account Receivables,-58000000.0,-161000000.0,-145000000.0,100000000.0
Other Cashflows From Financing Activities,3000000.0,-1000000.0,5000000.0,-81000000.0
Change To Netincome,87000000.0,7000000.0,-252000000.0,494000000.0
Capital Expenditures,-188000000.0,-191000000.0,-104000000.0,-218000000.0
Change To Operating Activities,,,,-174000000.0
Issuance Of Stock,,,,87000000.0
