,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,730500000.0,730500000.0,1034500000.0,1034500000.0
Minority Interest,2745000000.0,2745000000.0,2553000000.0,2553000000.0
Net Income,419500000.0,419500000.0,675000000.0,675000000.0
Selling General Administrative,1866000000.0,1866000000.0,1763500000.0,1763500000.0
Gross Profit,2654000000.0,2654000000.0,2803000000.0,2803000000.0
Ebit,788000000.0,788000000.0,1039500000.0,1039500000.0
Operating Income,788000000.0,788000000.0,1039500000.0,1039500000.0
Other Operating Expenses,,,,
Interest Expense,-105500000.0,-105500000.0,-101000000.0,-101000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,194500000.0,194500000.0,257000000.0,257000000.0
Total Revenue,6278000000.0,6278000000.0,6224500000.0,6224500000.0
Total Operating Expenses,5490000000.0,5490000000.0,5185000000.0,5185000000.0
Cost Of Revenue,3624000000.0,3624000000.0,3421500000.0,3421500000.0
Total Other Income Expense Net,-57500000.0,-57500000.0,-5000000.0,-5000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,536000000.0,536000000.0,777500000.0,777500000.0
Net Income Applicable To Common Shares,415000000.0,415000000.0,670500000.0,670500000.0
