,2021-10-31,2021-07-31,2021-04-30,2021-01-31
Change To Liabilities,2741000.0,-6677000.0,9202000.0,1641000.0
Total Cashflows From Investing Activities,-114564000.0,-16843000.0,-26776000.0,-25271000.0
Net Borrowings,-150000000.0,-200000000.0,-85000000.0,-70000000.0
Total Cash From Financing Activities,-155745000.0,-221806000.0,-90010000.0,-91407000.0
Change To Operating Activities,29312000.0,10533000.0,15608000.0,-13833000.0
Issuance Of Stock,839000.0,667000.0,1388000.0,2450000.0
Net Income,86062000.0,76889000.0,70673000.0,70596000.0
Change In Cash,-161518000.0,-115628000.0,-13959000.0,-7449000.0
Repurchase Of Stock,-104000.0,-63000.0,-53000.0,-3571000.0
Effect Of Exchange Rate,-1190000.0,-970000.0,-86000.0,2030000.0
Total Cash From Operating Activities,109981000.0,123991000.0,102913000.0,107199000.0
Depreciation,24203000.0,22897000.0,22916000.0,23003000.0
Other Cashflows From Investing Activities,-1608000.0,720000.0,-466000.0,-9417000.0
Change To Inventory,-17850000.0,4797000.0,330000.0,2602000.0
Change To Account Receivables,-28501000.0,4776000.0,-15056000.0,11857000.0
Other Cashflows From Financing Activities,-6480000.0,-10226000.0,-6345000.0,-9468000.0
Change To Netincome,14395000.0,3498000.0,9943000.0,4706000.0
Capital Expenditures,-6059000.0,-8186000.0,-6429000.0,-15509000.0
Dividends Paid,,-12184000.0,-12184000.0,-10818000.0
