,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-854000000.0,201000000.0,-355000000.0,-984000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-1169000000.0,-129000000.0,-450000000.0,-1059000000.0
Net Borrowings,588000000.0,588000000.0,588000000.0,-76000000.0
Total Cash From Financing Activities,-30000000.0,-667000000.0,-266000000.0,-199000000.0
Change To Operating Activities,918000000.0,123000000.0,364000000.0,631000000.0
Issuance Of Stock,18000000.0,5000000.0,5000000.0,6000000.0
Net Income,482000000.0,905000000.0,249000000.0,537000000.0
Change In Cash,89000000.0,28000000.0,41000000.0,-31000000.0
Repurchase Of Stock,-511000000.0,-568000000.0,-123000000.0,-123000000.0
Effect Of Exchange Rate,-6000000.0,4000000.0,-3000000.0,11000000.0
Total Cash From Operating Activities,1292000000.0,838000000.0,759000000.0,1216000000.0
Depreciation,168000000.0,173000000.0,174000000.0,151000000.0
Other Cashflows From Investing Activities,-41000000.0,-28000000.0,21000000.0,-8000000.0
Dividends Paid,-129000000.0,-131000000.0,-121000000.0,-121000000.0
Other Cashflows From Financing Activities,4000000.0,27000000.0,-22000000.0,-8000000.0
Change To Netincome,-605000000.0,-686000000.0,-514000000.0,-544000000.0
Capital Expenditures,-45000000.0,-24000000.0,-23000000.0,-36000000.0
