,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,583000000.0,1110000000.0,303000000.0,652000000.0
Minority Interest,,,,
Net Income,482000000.0,905000000.0,249000000.0,537000000.0
Selling General Administrative,1192000000.0,1202000000.0,1144000000.0,1087000000.0
Gross Profit,1836000000.0,2376000000.0,1523000000.0,1819000000.0
Ebit,626000000.0,1157000000.0,361000000.0,684000000.0
Operating Income,626000000.0,1157000000.0,361000000.0,684000000.0
Other Operating Expenses,,,,31000000.0
Interest Expense,-47000000.0,-47000000.0,-47000000.0,-47000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,101000000.0,205000000.0,54000000.0,115000000.0
Total Revenue,5675000000.0,5579000000.0,5289000000.0,5318000000.0
Total Operating Expenses,5049000000.0,4422000000.0,4928000000.0,4634000000.0
Cost Of Revenue,3839000000.0,3203000000.0,3766000000.0,3499000000.0
Total Other Income Expense Net,-43000000.0,-47000000.0,-58000000.0,-32000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,482000000.0,905000000.0,249000000.0,537000000.0
Net Income Applicable To Common Shares,476000000.0,900000000.0,244000000.0,532000000.0
