,2021-09-25,2021-06-26,2021-03-27,2020-12-26
Intangible Assets,1659200000.0,1800800000.0,1447600000.0,1244800000.0
Capital Surplus,5965800000.0,5936200000.0,5927100000.0,5895300000.0
Total Liab,4701300000.0,4713500000.0,4249000000.0,4281700000.0
Total Stockholder Equity,4218600000.0,3877100000.0,3794400000.0,3267900000.0
Other Current Liab,285200000.0,225700000.0,212400000.0,199800000.0
Total Assets,8919900000.0,8590600000.0,8044000000.0,7550700000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,27400000.0,63100000.0,86500000.0,30700000.0
Retained Earnings,298300000.0,-30500000.0,-298900000.0,-918800000.0
Other Liab,565800000.0,561400000.0,503000000.0,499800000.0
Good Will,3281600000.0,3264200000.0,2857200000.0,2663300000.0
Treasury Stock,-2048500000.0,-2031600000.0,-1836800000.0,-1711600000.0
Other Assets,152600000.0,556300000.0,543200000.0,531800000.0
Cash,1170300000.0,827600000.0,816400000.0,868700000.0
Total Current Liabilities,1326800000.0,1464600000.0,1036400000.0,1056000000.0
Deferred Long Term Asset Charges,21900000.0,,,
Short Long Term Debt,313000000.0,471700000.0,85900000.0,86000000.0
Other Stockholder Equity,-59100000.0,-42200000.0,-35800000.0,-30700000.0
Property Plant Equipment,648300000.0,551100000.0,533600000.0,514500000.0
Total Current Assets,3168700000.0,2418200000.0,2662400000.0,2596300000.0
Long Term Investments,9500000.0,,,
Net Tangible Assets,-722200000.0,-1187900000.0,-510400000.0,-640200000.0
Net Receivables,942700000.0,943200000.0,1212300000.0,1216100000.0
Long Term Debt,2719800000.0,2664600000.0,2686000000.0,2709100000.0
Inventory,501200000.0,502900000.0,456200000.0,420200000.0
Accounts Payable,215900000.0,208400000.0,225100000.0,184300000.0
Minority Interest,,,600000.0,1100000.0
