,2021-10-31,2021-07-25,2021-04-25,2021-01-24
Intangible Assets,1822273000.0,1863713000.0,1068399000.0,1073455000.0
Capital Surplus,360336000.0,354162000.0,319048000.0,298988000.0
Total Liab,5717968000.0,5538450000.0,3183154000.0,3402205000.0
Total Stockholder Equity,6972883000.0,6788284000.0,6700672000.0,6550532000.0
Minority Interest,5478000.0,5448000.0,5178000.0,5195000.0
Other Current Liab,23520000.0,17452000.0,28939000.0,45896000.0
Total Assets,12696329000.0,12332182000.0,9889004000.0,9957932000.0
Common Stock,7946000.0,7948000.0,7917000.0,7908000.0
Other Current Assets,14943000.0,13533000.0,9168000.0,8935000.0
Retained Earnings,6881870000.0,6743701000.0,6699336000.0,6604506000.0
Other Liab,930388000.0,970997000.0,967489000.0,941686000.0
Good Will,4929102000.0,4907073000.0,2614036000.0,2617589000.0
Treasury Stock,-277269000.0,-317527000.0,-325629000.0,-360870000.0
Other Assets,516710000.0,501166000.0,485532000.0,462092000.0
Cash,613530000.0,291363000.0,1484533000.0,1751541000.0
Total Current Liabilities,1415654000.0,1251191000.0,1175179000.0,1417469000.0
Short Long Term Debt,394000.0,8732000.0,9333000.0,258690000.0
Other Stockholder Equity,-277269000.0,-317527000.0,-325629000.0,-360870000.0
Property Plant Equipment,2181409000.0,2067141000.0,1897488000.0,1898266000.0
Total Current Assets,2947816000.0,2688672000.0,3514293000.0,3601663000.0
Long Term Investments,299019000.0,304417000.0,309256000.0,304867000.0
Net Tangible Assets,221508000.0,17498000.0,3018237000.0,2859488000.0
Short Term Investments,21162000.0,18372000.0,17700000.0,17520000.0
Net Receivables,904012000.0,912416000.0,731448000.0,715651000.0
Long Term Debt,3270510000.0,3261191000.0,983625000.0,1043050000.0
Inventory,1369198000.0,1426738000.0,1229030000.0,1086660000.0
Accounts Payable,793310000.0,654162000.0,577365000.0,558523000.0
