Date,Dividends
1985-08-19,0.02917
1985-11-19,0.03125
1986-02-24,0.1252
1986-05-19,0.1252
1986-08-18,0.1352
1986-11-05,0.1352
1987-02-23,0.1352
1987-05-18,0.1352
1987-08-19,0.1552
1987-11-16,0.1552
1988-02-24,0.1552
1988-05-19,0.1552
1988-08-19,0.1752
1988-11-18,0.1752
1989-02-21,0.1752
1989-05-19,0.1752
1989-08-21,0.1952
1989-11-20,0.1952
1990-02-20,0.1952
1990-05-21,0.1952
1990-08-20,0.2252
1990-11-19,0.2252
1991-02-22,0.2252
1991-05-20,0.2252
1991-08-20,0.2452
1991-11-14,0.2452
1992-02-20,0.2452
1992-05-18,0.2452
1992-08-20,0.27
1992-11-16,0.27
1993-02-22,0.27
1993-05-14,0.27
1993-05-17,0.0675
1993-08-20,0.3
1993-11-15,0.3
1994-02-18,0.3
1994-05-17,0.3
1994-08-22,0.3252
1994-11-15,0.3252
1995-02-14,0.3252
1995-02-17,0.325
1995-05-17,0.325
1995-05-19,0.3252
1995-08-23,0.36
1995-11-17,0.36
1995-11-22,0.36
1996-02-16,0.36
1996-02-21,0.36
1996-05-21,0.36
1996-08-21,0.4
1996-11-19,0.2
1996-11-20,0.2
1997-02-20,0.2
1997-05-21,0.2
1997-08-21,0.22
1997-11-19,0.22
1998-02-20,0.22
1998-05-20,0.22
1998-08-21,0.24
1998-11-19,0.24
1999-02-22,0.24
1999-05-19,0.24
1999-05-20,0.24
1999-08-23,0.26
1999-11-18,0.26
2000-02-23,0.26
2000-05-23,0.26
2000-08-23,0.28
2000-11-20,0.28
2001-02-21,0.28
2001-05-23,0.28
2001-08-22,0.3026
2001-11-20,0.3026
2002-02-21,0.3026
2002-05-22,0.3026
2002-08-21,0.3276
2002-11-20,0.3276
2003-02-21,0.3276
2003-05-21,0.3276
2003-08-21,0.395
2003-11-21,0.395
2004-02-23,0.395
2004-05-21,0.395
2004-08-23,0.22
2004-11-22,0.22
2005-02-23,0.22
2005-05-23,0.22
2005-08-23,0.245
2005-11-22,0.245
2006-02-22,0.245
2006-05-23,0.245
2006-08-23,0.27
2006-11-20,0.27
2007-02-21,0.27
2007-05-23,0.27
2007-08-22,0.2975
2007-11-19,0.2975
2008-02-21,0.2975
2008-05-21,0.2975
2008-08-21,0.2975
2008-11-21,0.2975
2009-02-23,0.2975
2009-05-20,0.2975
2009-08-21,0.2975
2009-11-23,0.2975
2010-02-23,0.32
2010-05-21,0.32
2010-08-23,0.32
2010-11-22,0.32
2011-02-23,0.345
2011-05-23,0.345
2011-08-23,0.345
2011-11-22,0.345
2012-02-22,0.38
2012-05-23,0.38
2012-08-22,0.38
2012-11-20,0.42
2013-02-21,0.42
2013-05-22,0.42
2013-08-21,0.485
2013-11-21,0.485
2014-02-21,0.485
2014-05-21,0.485
2014-08-21,0.535
2014-11-21,0.535
2015-02-23,0.535
2015-05-21,0.535
2015-08-21,0.583
2015-11-23,0.583
2016-02-23,0.583
2016-05-23,0.583
2016-08-23,0.618
2016-11-21,0.618
2017-02-22,0.618
2017-05-23,0.618
2017-08-23,0.656
2017-11-21,0.656
2018-02-22,0.656
2018-05-24,0.656
2018-08-23,0.722
2018-11-20,0.722
2019-02-21,0.722
2019-05-23,0.722
2019-08-22,0.773
2019-11-21,0.773
2020-02-20,0.773
2020-05-21,0.773
2020-08-20,0.804
2020-11-19,0.804
2021-02-18,0.804
2021-05-20,0.804
2021-08-19,0.901
2021-11-18,0.901
