,2021-07-04,2021-04-04,2020-12-31,2020-09-27
Research Development,,,37577000.0,37577000.0
Effect Of Accounting Charges,,,,
Income Before Tax,418416000.0,514194000.0,263400000.0,562508000.0
Minority Interest,8844000.0,8852000.0,3531000.0,2959000.0
Net Income,301230000.0,395799000.0,291387000.0,447283000.0
Selling General Administrative,468647000.0,494183000.0,504428000.0,473395000.0
Gross Profit,926487000.0,1052946000.0,964280000.0,1080024000.0
Ebit,457840000.0,558763000.0,422275000.0,606629000.0
Operating Income,457840000.0,558763000.0,422275000.0,606629000.0
Other Operating Expenses,,,,
Interest Expense,-31684000.0,-37046000.0,-38720000.0,-38056000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,117186000.0,117323000.0,-27930000.0,115250000.0
Total Revenue,1989422000.0,2295948000.0,2185244000.0,2219829000.0
Total Operating Expenses,1531582000.0,1737185000.0,1762969000.0,1613200000.0
Cost Of Revenue,1062935000.0,1243002000.0,1220964000.0,1139805000.0
Total Other Income Expense Net,-39424000.0,-44569000.0,-158875000.0,-44121000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,301230000.0,396871000.0,291330000.0,447258000.0
Net Income Applicable To Common Shares,301230000.0,395799000.0,291387000.0,447283000.0
