,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,78473000.0,72104000.0,68396000.0,55563000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-12618000.0,-22912000.0,-23296000.0,-13803000.0
Minority Interest,,,,
Net Income,-13735000.0,-24572000.0,-23159000.0,-15416000.0
Selling General Administrative,206043000.0,192409000.0,173267000.0,156848000.0
Gross Profit,269589000.0,247911000.0,226631000.0,204770000.0
Ebit,-14927000.0,-16602000.0,-15032000.0,-7641000.0
Operating Income,-14927000.0,-16602000.0,-15032000.0,-7641000.0
Other Operating Expenses,,,,
Interest Expense,-7798000.0,-7179000.0,-9399000.0,-7226000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1117000.0,1660000.0,-137000.0,1613000.0
Total Revenue,339195000.0,310788000.0,281365000.0,252065000.0
Total Operating Expenses,354122000.0,327390000.0,296397000.0,259706000.0
Cost Of Revenue,69606000.0,62877000.0,54734000.0,47295000.0
Total Other Income Expense Net,2309000.0,-6310000.0,-8264000.0,-6162000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-13735000.0,-24572000.0,-23159000.0,-15416000.0
Net Income Applicable To Common Shares,-13735000.0,-24572000.0,-23159000.0,-15416000.0
