,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,589500000.0,589500000.0,1029500000.0,1029500000.0
Minority Interest,588000000.0,588000000.0,578000000.0,578000000.0
Net Income,514000000.0,514000000.0,903000000.0,903000000.0
Selling General Administrative,532500000.0,532500000.0,570000000.0,570000000.0
Gross Profit,1583500000.0,1583500000.0,1430500000.0,1430500000.0
Ebit,873000000.0,873000000.0,668000000.0,668000000.0
Operating Income,873000000.0,873000000.0,668000000.0,668000000.0
Other Operating Expenses,81000000.0,81000000.0,87000000.0,87000000.0
Interest Expense,-117500000.0,-117500000.0,-105500000.0,-105500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,58000000.0,58000000.0,107500000.0,107500000.0
Total Revenue,4317000000.0,4317000000.0,3964000000.0,3964000000.0
Total Operating Expenses,3444000000.0,3444000000.0,3296000000.0,3296000000.0
Cost Of Revenue,2733500000.0,2733500000.0,2533500000.0,2533500000.0
Total Other Income Expense Net,-283500000.0,-283500000.0,361500000.0,361500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,531500000.0,531500000.0,922000000.0,922000000.0
Net Income Applicable To Common Shares,514000000.0,514000000.0,903000000.0,903000000.0
