,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Total Liab,19666000000.0,18170000000.0,17271000000.0,16613000000.0
Total Stockholder Equity,21209000000.0,20769000000.0,21736000000.0,21418000000.0
Other Current Liab,369000000.0,142000000.0,121000000.0,100000000.0
Total Assets,40875000000.0,38939000000.0,39007000000.0,38031000000.0
Common Stock,1286000000.0,1302000000.0,1357000000.0,1357000000.0
Retained Earnings,21759000000.0,21336000000.0,22281000000.0,22050000000.0
Other Liab,8493000000.0,8359000000.0,8293000000.0,8181000000.0
Good Will,166000000.0,166000000.0,166000000.0,166000000.0
Treasury Stock,-1836000000.0,-1869000000.0,-1902000000.0,-1989000000.0
Other Assets,698000000.0,558000000.0,528000000.0,338000000.0
Cash,1875000000.0,776000000.0,1467000000.0,771000000.0
Total Current Liabilities,5949000000.0,4650000000.0,3933000000.0,3380000000.0
Other Stockholder Equity,-1836000000.0,-1869000000.0,-1902000000.0,-1989000000.0
Property Plant Equipment,31378000000.0,31593000000.0,31700000000.0,32222000000.0
Total Current Assets,7880000000.0,5874000000.0,5848000000.0,4524000000.0
Long Term Investments,753000000.0,748000000.0,765000000.0,781000000.0
Net Tangible Assets,21043000000.0,20603000000.0,21570000000.0,21252000000.0
Net Receivables,3871000000.0,3163000000.0,2388000000.0,1919000000.0
Long Term Debt,4447000000.0,4447000000.0,4447000000.0,4447000000.0
Inventory,2134000000.0,1935000000.0,1993000000.0,1834000000.0
Accounts Payable,5286000000.0,4171000000.0,3481000000.0,2554000000.0
