,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-601000.0,17162000.0,-11670000.0,-51297000.0
Change To Liabilities,-7591000.0,37042000.0,-13709000.0,-23745000.0
Total Cashflows From Investing Activities,-32754000.0,-49145000.0,-59753000.0,-102730000.0
Net Borrowings,-615000.0,-600000.0,-573000.0,-217000.0
Total Cash From Financing Activities,-19343000.0,3679000.0,12835000.0,11872000.0
Change To Operating Activities,69616000.0,3652000.0,-13015000.0,54980000.0
Net Income,181739000.0,149456000.0,53535000.0,149850000.0
Change In Cash,201442000.0,127650000.0,156846000.0,14327000.0
Repurchase Of Stock,-11992000.0,-11992000.0,-11992000.0,-11992000.0
Effect Of Exchange Rate,-1559000.0,172000.0,-2331000.0,-2136000.0
Total Cash From Operating Activities,255098000.0,172944000.0,206095000.0,107321000.0
Depreciation,15091000.0,14057000.0,13838000.0,15666000.0
Change To Inventory,72000.0,-11881000.0,-4406000.0,-10264000.0
Change To Account Receivables,-78519000.0,-40813000.0,84637000.0,-117529000.0
Other Cashflows From Financing Activities,-6736000.0,-6737000.0,-6620000.0,-6620000.0
Change To Netincome,75090000.0,21031000.0,85215000.0,38263000.0
Capital Expenditures,-32153000.0,-66307000.0,-48083000.0,-51433000.0
Issuance Of Stock,,11016000.0,20028000.0,18709000.0
