,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,209469000.0,171633000.0,69322000.0,168102000.0
Minority Interest,,,,
Net Income,181739000.0,149456000.0,53535000.0,149850000.0
Selling General Administrative,191054000.0,169209000.0,154144000.0,167228000.0
Gross Profit,429024000.0,314327000.0,258118000.0,334812000.0
Ebit,237970000.0,145118000.0,103974000.0,167584000.0
Operating Income,237970000.0,145118000.0,103974000.0,167584000.0
Other Operating Expenses,,,,
Interest Expense,-439000.0,-358000.0,-359000.0,-428000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,27730000.0,22177000.0,15787000.0,18252000.0
Total Revenue,812987000.0,705709000.0,604718000.0,789509000.0
Total Operating Expenses,575017000.0,560591000.0,500744000.0,621925000.0
Cost Of Revenue,383963000.0,391382000.0,346600000.0,454697000.0
Total Other Income Expense Net,-28501000.0,26515000.0,-34652000.0,518000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,181739000.0,149456000.0,53535000.0,149850000.0
Net Income Applicable To Common Shares,181739000.0,149456000.0,53535000.0,149850000.0
