,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,36200000.0,14299000.0,-3601000.0,47628000.0
Change To Liabilities,69930000.0,32762000.0,34297000.0,-110011000.0
Total Cashflows From Investing Activities,-445435000.0,-160319000.0,-122556000.0,-230781000.0
Net Borrowings,-1389000.0,-10333000.0,-13022000.0,-276835000.0
Total Cash From Financing Activities,586228000.0,-111871000.0,-118979000.0,-237399000.0
Change To Operating Activities,20823000.0,-19597000.0,-2964000.0,-12650000.0
Issuance Of Stock,693445000.0,693445000.0,693445000.0,182925000.0
Net Income,69177000.0,60338000.0,57367000.0,70699000.0
Change In Cash,453006000.0,-42677000.0,-947000.0,-397140000.0
Total Cash From Operating Activities,312213000.0,229513000.0,240588000.0,71040000.0
Depreciation,150694000.0,145280000.0,144501000.0,142090000.0
Other Cashflows From Investing Activities,-11237000.0,-373000.0,-3473000.0,1117000.0
Dividends Paid,-98283000.0,-96597000.0,-97230000.0,-84500000.0
Other Cashflows From Financing Activities,-7545000.0,-2951000.0,-1314000.0,-57935000.0
Change To Netincome,-6745000.0,3448000.0,-272000.0,-31047000.0
Repurchase Of Stock,,-1990000.0,-7413000.0,-1054000.0
