,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1010000000.0,536000000.0,448000000.0,187000000.0
Minority Interest,1000000.0,2000000.0,13000000.0,14000000.0
Net Income,864000000.0,432000000.0,349000000.0,153000000.0
Selling General Administrative,829000000.0,828000000.0,714000000.0,802000000.0
Gross Profit,1790000000.0,1703000000.0,1516000000.0,1580000000.0
Ebit,601000000.0,524000000.0,449000000.0,404000000.0
Operating Income,601000000.0,524000000.0,449000000.0,404000000.0
Other Operating Expenses,42000000.0,45000000.0,44000000.0,42000000.0
Interest Expense,-117000000.0,-117000000.0,-124000000.0,-133000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,146000000.0,102000000.0,99000000.0,34000000.0
Total Revenue,5714000000.0,5616000000.0,5363000000.0,5239000000.0
Total Operating Expenses,5113000000.0,5092000000.0,4914000000.0,4835000000.0
Cost Of Revenue,3924000000.0,3913000000.0,3847000000.0,3659000000.0
Total Other Income Expense Net,409000000.0,12000000.0,-1000000.0,-217000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,864000000.0,434000000.0,349000000.0,153000000.0
Net Income Applicable To Common Shares,864000000.0,432000000.0,349000000.0,153000000.0
