,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,133700000.0,150800000.0,100700000.0,108900000.0
Minority Interest,69200000.0,68500000.0,69000000.0,69800000.0
Net Income,126000000.0,233900000.0,-90400000.0,151600000.0
Selling General Administrative,250900000.0,266300000.0,251400000.0,245200000.0
Gross Profit,514300000.0,512700000.0,452100000.0,526900000.0
Ebit,181800000.0,166500000.0,114800000.0,167000000.0
Operating Income,181800000.0,166500000.0,114800000.0,167000000.0
Other Operating Expenses,1300000.0,-400000.0,1700000.0,2900000.0
Interest Expense,-22500000.0,-22700000.0,-23100000.0,-24400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2700000.0,12500000.0,10600000.0,-42200000.0
Total Revenue,1325000000.0,1279100000.0,1129500000.0,1510700000.0
Total Operating Expenses,1143200000.0,1112600000.0,1014700000.0,1343700000.0
Cost Of Revenue,810700000.0,766400000.0,677400000.0,983800000.0
Total Other Income Expense Net,-48100000.0,-15700000.0,-14100000.0,-58100000.0
Discontinued Operations,-4200000.0,96300000.0,-180200000.0,-180200000.0
Net Income From Continuing Ops,131000000.0,138300000.0,90100000.0,151100000.0
Net Income Applicable To Common Shares,126000000.0,233900000.0,-90400000.0,151600000.0
