,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,487976000000.0,487651000000.0,489302000000.0,476767000000.0
Capital Surplus,259802000000.0,259585000000.0,259361000000.0,242845000000.0
Total Liab,10626179000000.0,10466715000000.0,10459938000000.0,10322277000000.0
Total Stockholder Equity,3117654000000.0,3047532000000.0,3028456000000.0,2938261000000.0
Minority Interest,90845000000.0,67719000000.0,74688000000.0,63953000000.0
Other Current Liab,443943000000.0,424905000000.0,1199969000000.0,397265000000.0
Total Assets,13834678000000.0,13581966000000.0,13563082000000.0,13324491000000.0
Common Stock,221111000000.0,221111000000.0,221111000000.0,221111000000.0
Other Current Assets,177993000000.0,182196000000.0,149162000000.0,157184000000.0
Retained Earnings,2839047000000.0,2757581000000.0,2744588000000.0,2758457000000.0
Other Liab,5086890000000.0,5033086000000.0,3958030000000.0,4967469000000.0
Good Will,561118000000.0,475136000000.0,495276000000.0,488378000000.0
Treasury Stock,-202306000000.0,-190745000000.0,-196604000000.0,-284152000000.0
Other Assets,2245497000000.0,2278200000000.0,2145930000000.0,2245399000000.0
Cash,1030893000000.0,1002653000000.0,951242000000.0,998058000000.0
Total Current Liabilities,1187795000000.0,1114605000000.0,2545305000000.0,1018318000000.0
Short Long Term Debt,19564000000.0,22788000000.0,728493000000.0,36895000000.0
Other Stockholder Equity,-59822000000.0,-68573000000.0,-84650000000.0,-131054000000.0
Property Plant Equipment,846472000000.0,735801000000.0,852522000000.0,791485000000.0
Total Current Assets,6298279000000.0,6309189000000.0,6284329000000.0,6273166000000.0
Long Term Investments,3395336000000.0,3295989000000.0,3295723000000.0,3049296000000.0
Net Tangible Assets,2068560000000.0,2084745000000.0,2043878000000.0,1973116000000.0
Short Term Investments,4435000000.0,4512000000.0,20752000000.0,
Net Receivables,4947878000000.0,4978050000000.0,5016496000000.0,4967736000000.0
Long Term Debt,4351494000000.0,4319024000000.0,3712091000000.0,4336490000000.0
Inventory,132891000000.0,136897000000.0,142156000000.0,147343000000.0
Accounts Payable,230282000000.0,210398000000.0,260712000000.0,212617000000.0
Deferred Long Term Asset Charges,,,38954000000.0,
