,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,753000000.0,759000000.0,173000000.0,1151000000.0
Capital Surplus,6141000000.0,6232000000.0,6213000000.0,6281000000.0
Total Liab,169525000000.0,163174000000.0,158569000000.0,152355000000.0
Total Stockholder Equity,15610000000.0,16041000000.0,15734000000.0,16081000000.0
Other Current Liab,14000000.0,12000000.0,11000000.0,10000000.0
Total Assets,187035000000.0,181115000000.0,176203000000.0,170336000000.0
Common Stock,1257000000.0,1257000000.0,1257000000.0,1257000000.0
Other Current Assets,3129000000.0,2725000000.0,3532000000.0,4248000000.0
Retained Earnings,14133000000.0,13689000000.0,13166000000.0,12751000000.0
Other Liab,760000000.0,802000000.0,641000000.0,782000000.0
Good Will,2673000000.0,2673000000.0,2673000000.0,2664000000.0
Treasury Stock,-5921000000.0,-5137000000.0,-4902000000.0,-4208000000.0
Other Assets,104808000000.0,106919000000.0,107213000000.0,103845000000.0
Cash,763000000.0,792000000.0,938000000.0,994000000.0
Total Current Liabilities,155600000000.0,149161000000.0,145429000000.0,141569000000.0
Deferred Long Term Asset Charges,41000000.0,,,
Other Stockholder Equity,-45000000.0,150000000.0,103000000.0,738000000.0
Property Plant Equipment,678000000.0,785000000.0,737000000.0,1383000000.0
Total Current Assets,7402000000.0,6576000000.0,6884000000.0,7933000000.0
Long Term Investments,70721000000.0,63403000000.0,58523000000.0,53360000000.0
Net Tangible Assets,12793000000.0,13209000000.0,12888000000.0,12844000000.0
Short Term Investments,11000000.0,5000000.0,18000000.0,6000000.0
Long Term Debt,13165000000.0,13211000000.0,12499000000.0,9424000000.0
Inventory,45000000.0,44000000.0,62000000.0,152000000.0
Accounts Payable,151931000000.0,146072000000.0,142183000000.0,135282000000.0
Short Long Term Debt,,,,4273000000.0
