,2021-04-30,2021-01-31,2020-10-31,2020-07-31
Research Development,209000000.0,199000000.0,193000000.0,169000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,208000000.0,195000000.0,266000000.0,185000000.0
Minority Interest,,,,
Net Income,186000000.0,172000000.0,217000000.0,176000000.0
Selling General Administrative,308000000.0,294000000.0,287000000.0,241000000.0
Gross Profit,737000000.0,707000000.0,756000000.0,606000000.0
Ebit,224000000.0,219000000.0,278000000.0,200000000.0
Operating Income,224000000.0,219000000.0,278000000.0,200000000.0
Other Operating Expenses,-4000000.0,-5000000.0,-2000000.0,-4000000.0
Interest Expense,-19000000.0,-20000000.0,-19000000.0,-20000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,22000000.0,23000000.0,49000000.0,9000000.0
Total Revenue,1221000000.0,1180000000.0,1220000000.0,1011000000.0
Total Operating Expenses,997000000.0,961000000.0,942000000.0,811000000.0
Cost Of Revenue,484000000.0,473000000.0,464000000.0,405000000.0
Total Other Income Expense Net,-16000000.0,-24000000.0,-12000000.0,-15000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,186000000.0,172000000.0,217000000.0,176000000.0
Net Income Applicable To Common Shares,186000000.0,172000000.0,217000000.0,176000000.0
