,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,645000000.0,-977000000.0,1776000000.0,800000000.0
Minority Interest,1101000000.0,1112000000.0,1121000000.0,1130000000.0
Net Income,495000000.0,-757000000.0,1409000000.0,607000000.0
Selling General Administrative,174000000.0,160000000.0,156000000.0,187000000.0
Gross Profit,1651000000.0,1632000000.0,2688000000.0,1723000000.0
Ebit,848000000.0,838000000.0,1882000000.0,925000000.0
Operating Income,848000000.0,838000000.0,1882000000.0,925000000.0
Other Operating Expenses,103000000.0,106000000.0,109000000.0,83000000.0
Interest Expense,-368000000.0,-377000000.0,-377000000.0,-381000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,134000000.0,-237000000.0,351000000.0,177000000.0
Total Revenue,3824000000.0,3150000000.0,5211000000.0,3115000000.0
Total Operating Expenses,2976000000.0,2312000000.0,3329000000.0,2190000000.0
Cost Of Revenue,2173000000.0,1518000000.0,2523000000.0,1392000000.0
Total Other Income Expense Net,-203000000.0,-1815000000.0,-106000000.0,-125000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,511000000.0,-740000000.0,1425000000.0,623000000.0
Net Income Applicable To Common Shares,491000000.0,-760000000.0,1406000000.0,603000000.0
