,2021-11-30,2021-08-31,2021-05-31,2021-02-28
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1580805000.0,1814354000.0,1096885000.0,1327014000.0
Minority Interest,179857000.0,129351000.0,125990000.0,121205000.0
Net Income,1190491000.0,1406888000.0,831363000.0,1001369000.0
Selling General Administrative,579772000.0,548658000.0,545881000.0,520767000.0
Gross Profit,2365926000.0,1891312000.0,1703804000.0,1384255000.0
Ebit,1607615000.0,1832286000.0,884516000.0,876463000.0
Operating Income,1607615000.0,1832286000.0,884516000.0,876463000.0
Other Operating Expenses,178539000.0,-489632000.0,273407000.0,-12975000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,387155000.0,405136000.0,260113000.0,310105000.0
Total Revenue,8433560000.0,6941403000.0,6430245000.0,5325468000.0
Total Operating Expenses,6825945000.0,5109117000.0,5545729000.0,4449005000.0
Cost Of Revenue,6067634000.0,5050091000.0,4726441000.0,3941213000.0
Total Other Income Expense Net,-26810000.0,-17932000.0,212369000.0,450551000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1193650000.0,1409218000.0,836772000.0,1016909000.0
Net Income Applicable To Common Shares,1190491000.0,1390194000.0,820279000.0,989115000.0
