,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Intangible Assets,213848000.0,213848000.0,213008000.0,213008000.0
Total Liab,572434672000.0,572434672000.0,553137948000.0,553137948000.0
Total Stockholder Equity,108343930000.0,108343930000.0,94516920000.0,94516920000.0
Minority Interest,84380223000.0,84380223000.0,80988029000.0,80988029000.0
Other Current Liab,281245558000.0,281245558000.0,273228816000.0,273228816000.0
Total Assets,765158825000.0,765158825000.0,728642897000.0,728642897000.0
Common Stock,527214000.0,527214000.0,521778000.0,521778000.0
Other Current Assets,28121506000.0,28121506000.0,26579704000.0,26579704000.0
Retained Earnings,108717920000.0,108717920000.0,95347885000.0,95347885000.0
Other Liab,10563381000.0,10563381000.0,10434558000.0,10434558000.0
Good Will,275976000.0,275976000.0,275976000.0,275976000.0
Treasury Stock,-901204000.0,-901204000.0,-1352743000.0,-1352743000.0
Other Assets,161352511000.0,161352511000.0,149678158000.0,149678158000.0
Cash,77005830000.0,77005830000.0,78258331000.0,78258331000.0
Total Current Liabilities,399508215000.0,399508215000.0,379756276000.0,379756276000.0
Deferred Long Term Asset Charges,8866713000.0,8866713000.0,7974650000.0,7974650000.0
Short Long Term Debt,18340253000.0,18340253000.0,17243826000.0,17243826000.0
Other Stockholder Equity,-901204000.0,-901204000.0,-1352743000.0,-1352743000.0
Property Plant Equipment,4337860000.0,4337860000.0,2563516000.0,2563516000.0
Total Current Assets,576776175000.0,576776175000.0,556093436000.0,556093436000.0
Long Term Investments,22202455000.0,22202455000.0,19818803000.0,19818803000.0
Net Tangible Assets,107854106000.0,107854106000.0,94027936000.0,94027936000.0
Net Receivables,95585882000.0,95585882000.0,89214349000.0,89214349000.0
Long Term Debt,149923882000.0,149923882000.0,151495953000.0,151495953000.0
Inventory,375622957000.0,375622957000.0,361941052000.0,361941052000.0
Accounts Payable,76367948000.0,76367948000.0,69907132000.0,69907132000.0
