,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,768200000.0,650600000.0,1021800000.0,1242700000.0
Minority Interest,20600000.0,21000000.0,20900000.0,20700000.0
Net Income,587300000.0,467400000.0,769600000.0,938300000.0
Selling General Administrative,508100000.0,446700000.0,418300000.0,495500000.0
Gross Profit,1385500000.0,1264800000.0,1599000000.0,1961400000.0
Ebit,815400000.0,753700000.0,1117800000.0,1402600000.0
Operating Income,815400000.0,753700000.0,1117800000.0,1402600000.0
Other Operating Expenses,,,,
Interest Expense,-42200000.0,-78300000.0,-48500000.0,-48300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,180400000.0,182600000.0,251700000.0,304100000.0
Total Revenue,4062600000.0,3840700000.0,4161500000.0,4489800000.0
Total Operating Expenses,3247200000.0,3087000000.0,3043700000.0,3087200000.0
Cost Of Revenue,2677100000.0,2575900000.0,2562500000.0,2528400000.0
Total Other Income Expense Net,-47200000.0,-103100000.0,-96000000.0,-159900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,587800000.0,468000000.0,770100000.0,938600000.0
Net Income Applicable To Common Shares,587300000.0,467400000.0,769600000.0,938300000.0
