,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,295000000.0,295000000.0,295000000.0,295000000.0
Capital Surplus,4251000000.0,4269000000.0,4220000000.0,4191000000.0
Total Liab,26860000000.0,28518000000.0,26400000000.0,25712000000.0
Total Stockholder Equity,10250000000.0,9688000000.0,9093000000.0,8876000000.0
Other Current Liab,5893000000.0,7226000000.0,5183000000.0,4390000000.0
Total Assets,37110000000.0,38206000000.0,35493000000.0,34588000000.0
Common Stock,888000000.0,888000000.0,888000000.0,888000000.0
Other Current Assets,338000000.0,224000000.0,67000000.0,13000000.0
Retained Earnings,15706000000.0,15260000000.0,14912000000.0,14777000000.0
Other Liab,5376000000.0,5172000000.0,5950000000.0,6527000000.0
Good Will,970000000.0,970000000.0,970000000.0,970000000.0
Treasury Stock,-10595000000.0,-10729000000.0,-10927000000.0,-10980000000.0
Other Assets,623000000.0,541000000.0,495000000.0,732000000.0
Cash,12980000000.0,14124000000.0,11971000000.0,11063000000.0
Total Current Liabilities,9135000000.0,12476000000.0,8182000000.0,7506000000.0
Short Long Term Debt,225000000.0,2166000000.0,225000000.0,137000000.0
Other Stockholder Equity,267000000.0,136000000.0,-60000000.0,-105000000.0
Property Plant Equipment,16667000000.0,17211000000.0,17627000000.0,17418000000.0
Total Current Assets,18554000000.0,19188000000.0,16100000000.0,15173000000.0
Long Term Investments,1000000.0,1000000.0,6000000.0,
Net Tangible Assets,8985000000.0,8423000000.0,7828000000.0,7611000000.0
Short Term Investments,3024000000.0,2751000000.0,2377000000.0,2271000000.0
Net Receivables,1479000000.0,1328000000.0,937000000.0,1130000000.0
Long Term Debt,11015000000.0,9191000000.0,10546000000.0,9658000000.0
Inventory,511000000.0,464000000.0,448000000.0,414000000.0
Accounts Payable,1229000000.0,1378000000.0,1094000000.0,931000000.0
