,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,-19000000.0,26000000.0,5000000.0,-16000000.0
Total Cashflows From Investing Activities,-305000000.0,-252000000.0,-376000000.0,-382000000.0
Net Borrowings,487000000.0,-16000000.0,30000000.0,1480000000.0
Total Cash From Financing Activities,498000000.0,-15000000.0,28000000.0,1461000000.0
Change To Operating Activities,-215000000.0,-35000000.0,-109000000.0,-25000000.0
Issuance Of Stock,19000000.0,2000000.0,4000000.0,2000000.0
Net Income,-278000000.0,-299000000.0,-565000000.0,-820000000.0
Change In Cash,-12000000.0,-261000000.0,-634000000.0,414000000.0
Effect Of Exchange Rate,-12000000.0,2000000.0,8000000.0,-13000000.0
Total Cash From Operating Activities,-193000000.0,4000000.0,-294000000.0,-652000000.0
Depreciation,269000000.0,307000000.0,306000000.0,298000000.0
Other Cashflows From Investing Activities,-17000000.0,-17000000.0,-17000000.0,-17000000.0
Change To Account Receivables,40000000.0,8000000.0,162000000.0,66000000.0
Other Cashflows From Financing Activities,-8000000.0,-1000000.0,-6000000.0,-21000000.0
Change To Netincome,-2000000.0,-14000000.0,-105000000.0,-165000000.0
Capital Expenditures,-291000000.0,-252000000.0,-376000000.0,-382000000.0
