,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,100000000.0,151000000.0,300000000.0,300000000.0
Change To Liabilities,657000000.0,155000000.0,327000000.0,0.0
Total Cashflows From Investing Activities,-435000000.0,-303000000.0,-59000000.0,-59000000.0
Net Borrowings,-603000000.0,-1275000000.0,-500000000.0,-500000000.0
Total Cash From Financing Activities,-1157000000.0,-1688000000.0,-782000000.0,-782000000.0
Net Income,1760000000.0,2058000000.0,1068000000.0,853000000.0
Change In Cash,515000000.0,-80000000.0,-302000000.0,-302000000.0
Repurchase Of Stock,-78000000.0,-78000000.0,-78000000.0,-78000000.0
Effect Of Exchange Rate,-36000000.0,9000000.0,-32000000.0,-32000000.0
Total Cash From Operating Activities,2143000000.0,1902000000.0,571000000.0,571000000.0
Depreciation,351000000.0,330000000.0,335000000.0,335000000.0
Other Cashflows From Investing Activities,-21000000.0,-23000000.0,-19000000.0,-19000000.0
Dividends Paid,-380000000.0,-378000000.0,-352000000.0,-352000000.0
Change To Inventory,-200000000.0,-181000000.0,-360000000.0,-360000000.0
Change To Account Receivables,-413000000.0,-909000000.0,-593000000.0,-593000000.0
Other Cashflows From Financing Activities,-96000000.0,-35000000.0,70000000.0,70000000.0
Change To Netincome,-20000000.0,441000000.0,-211000000.0,-211000000.0
Capital Expenditures,-514000000.0,-431000000.0,-340000000.0,-340000000.0
