,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,395000000.0,372000000.0,378000000.0,357000000.0
Total Liab,5469000000.0,5338000000.0,5332000000.0,5356000000.0
Total Stockholder Equity,-126000000.0,-154000000.0,-17000000.0,195000000.0
Minority Interest,252000000.0,239000000.0,259000000.0,226000000.0
Total Assets,5595000000.0,5423000000.0,5574000000.0,5777000000.0
Common Stock,243000000.0,247000000.0,253000000.0,258000000.0
Retained Earnings,-595000000.0,-640000000.0,-116000000.0,79000000.0
Other Liab,485000000.0,458000000.0,472000000.0,481000000.0
Good Will,617000000.0,592000000.0,588000000.0,563000000.0
Treasury Stock,226000000.0,239000000.0,-154000000.0,-142000000.0
Other Assets,121000000.0,135000000.0,335000000.0,137000000.0
Cash,854000000.0,769000000.0,838000000.0,1326000000.0
Total Current Liabilities,1879000000.0,1778000000.0,1748000000.0,1934000000.0
Short Long Term Debt,10000000.0,10000000.0,6000000.0,1000000.0
Other Stockholder Equity,226000000.0,239000000.0,-154000000.0,-142000000.0
Property Plant Equipment,1058000000.0,1065000000.0,1067000000.0,1074000000.0
Total Current Assets,3404000000.0,3259000000.0,3206000000.0,3489000000.0
Net Tangible Assets,-1138000000.0,-1118000000.0,-983000000.0,-725000000.0
Net Receivables,1330000000.0,1352000000.0,1305000000.0,1140000000.0
Long Term Debt,2950000000.0,2950000000.0,2955000000.0,2766000000.0
Inventory,1107000000.0,1021000000.0,948000000.0,876000000.0
Accounts Payable,1037000000.0,1021000000.0,925000000.0,893000000.0
Other Current Liab,,,14000000.0,155000000.0
Other Current Assets,,,18000000.0,
Deferred Long Term Asset Charges,,,,109000000.0
Long Term Investments,,,,157000000.0
