,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,342000000.0,-3000000.0,157000000.0,275000000.0
Minority Interest,252000000.0,239000000.0,259000000.0,226000000.0
Net Income,220000000.0,-36000000.0,94000000.0,195000000.0
Selling General Administrative,372000000.0,769000000.0,346000000.0,353000000.0
Gross Profit,753000000.0,791000000.0,700000000.0,662000000.0
Ebit,381000000.0,22000000.0,354000000.0,309000000.0
Operating Income,381000000.0,22000000.0,354000000.0,309000000.0
Other Operating Expenses,,,,
Interest Expense,-26000000.0,-25000000.0,-202000000.0,-34000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,103000000.0,12000000.0,43000000.0,67000000.0
Total Revenue,2204000000.0,2179000000.0,1970000000.0,1860000000.0
Total Operating Expenses,1823000000.0,2157000000.0,1616000000.0,1551000000.0
Cost Of Revenue,1451000000.0,1388000000.0,1270000000.0,1198000000.0
Total Other Income Expense Net,-39000000.0,-25000000.0,-208000000.0,-34000000.0
Discontinued Operations,,,,3000000.0
Net Income From Continuing Ops,239000000.0,-15000000.0,114000000.0,208000000.0
Net Income Applicable To Common Shares,219000000.0,-36000000.0,88000000.0,195000000.0
