,2021-10-31,2021-07-31,2021-04-30,2021-01-31
Investments,-404471000.0,-127707000.0,-2415000.0,22191000.0
Change To Liabilities,49387000.0,265000.0,9973000.0,42947000.0
Total Cashflows From Investing Activities,-406655000.0,-129412000.0,-7511000.0,21360000.0
Net Borrowings,-1234000.0,-1216000.0,-28793000.0,-327000.0
Total Cash From Financing Activities,232000.0,903517000.0,-25254000.0,11579000.0
Change To Operating Activities,12533000.0,9857000.0,-29274000.0,-4803000.0
Issuance Of Stock,1466000.0,904733000.0,3539000.0,12762000.0
Net Income,-81293000.0,-77133000.0,-63992000.0,-75801000.0
Change In Cash,-412859000.0,753939000.0,-22642000.0,14940000.0
Effect Of Exchange Rate,-646000.0,-408000.0,-94000.0,646000.0
Total Cash From Operating Activities,-5790000.0,-19758000.0,10217000.0,-18645000.0
Depreciation,6138000.0,6075000.0,5767000.0,7289000.0
Change To Account Receivables,-63215000.0,-18822000.0,35145000.0,-43476000.0
Change To Netincome,69818000.0,59108000.0,51171000.0,42656000.0
Capital Expenditures,-2184000.0,-1705000.0,-627000.0,-831000.0
Other Cashflows From Financing Activities,,,,-856000.0
