,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,9696000000.0,9785000000.0,4215000000.0,10170000000.0
Capital Surplus,260000000.0,258000000.0,261000000.0,259000000.0
Total Liab,824848000000.0,807020000000.0,827343000000.0,822527000000.0
Total Stockholder Equity,49219000000.0,44640000000.0,47729000000.0,48664000000.0
Minority Interest,1630000000.0,1548000000.0,1455000000.0,1398000000.0
Total Assets,879102000000.0,859012000000.0,880349000000.0,876411000000.0
Common Stock,23083000000.0,23080000000.0,23042000000.0,23034000000.0
Other Current Assets,50368000000.0,50876000000.0,54156000000.0,57299000000.0
Retained Earnings,21113000000.0,19083000000.0,18887000000.0,17693000000.0
Other Liab,803558000000.0,783670000000.0,783562000000.0,793130000000.0
Treasury Stock,4763000000.0,2219000000.0,5539000000.0,7678000000.0
Other Assets,467483000000.0,455675000000.0,451410000000.0,437031000000.0
Cash,19721000000.0,22443000000.0,26167000000.0,26970000000.0
Deferred Long Term Asset Charges,4917000000.0,5160000000.0,4842000000.0,4753000000.0
Other Stockholder Equity,4763000000.0,2219000000.0,5539000000.0,7678000000.0
Property Plant Equipment,1788000000.0,1816000000.0,1850000000.0,1955000000.0
Total Current Assets,86068000000.0,87457000000.0,103763000000.0,112622000000.0
Long Term Investments,314067000000.0,304279000000.0,313397000000.0,314633000000.0
Net Tangible Assets,39523000000.0,34855000000.0,37800000000.0,38494000000.0
Net Receivables,1469000000.0,1548000000.0,1444000000.0,1456000000.0
Long Term Debt,21290000000.0,23350000000.0,26295000000.0,29397000000.0
Other Current Liab,,,16783000000.0,
Good Will,,,5714000000.0,
Total Current Liabilities,,,17249000000.0,
Short Long Term Debt,,,350000000.0,
