,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-9158000.0,-24197000.0,-76845000.0,-25433000.0
Change To Liabilities,194622000.0,211263000.0,-23763000.0,-932602000.0
Total Cashflows From Investing Activities,1950743000.0,-118810000.0,-154912000.0,-112250000.0
Net Borrowings,-1690887000.0,-677502000.0,875677000.0,976091000.0
Total Cash From Financing Activities,-2523413000.0,-883513000.0,1313499000.0,863589000.0
Change To Operating Activities,-40320000.0,15423000.0,-27258000.0,44858000.0
Net Income,1350433000.0,104753000.0,-331829000.0,-447605000.0
Change In Cash,-55399000.0,-545280000.0,1069875000.0,507765000.0
Repurchase Of Stock,-686533000.0,-220392000.0,-119269000.0,-119269000.0
Effect Of Exchange Rate,-1018000.0,1017000.0,-1102000.0,-136000.0
Total Cash From Operating Activities,518289000.0,456026000.0,-87610000.0,-243438000.0
Depreciation,279403000.0,283625000.0,290551000.0,298697000.0
Other Cashflows From Investing Activities,-1000000.0,1000000.0,342000.0,488000.0
Dividends Paid,-1181000.0,-1220000.0,-1237000.0,-1236000.0
Change To Inventory,-3957000.0,3356000.0,5911000.0,9013000.0
Change To Account Receivables,-29469000.0,-92183000.0,-45970000.0,767706000.0
Other Cashflows From Financing Activities,-144812000.0,15601000.0,558328000.0,-111266000.0
Change To Netincome,-1269805000.0,-96399000.0,33776000.0,80087000.0
Capital Expenditures,-138747000.0,-104478000.0,-78914000.0,-93008000.0
