,2021-08-31,2021-05-31,2021-02-28,2020-11-30
Change To Liabilities,-16700000.0,0.0,0.0,164200000.0
Total Cashflows From Investing Activities,-77000000.0,1600000.0,-755200000.0,-882300000.0
Net Borrowings,58700000.0,-137600000.0,706200000.0,737400000.0
Total Cash From Financing Activities,-30900000.0,-234800000.0,612700000.0,653600000.0
Change To Operating Activities,52200000.0,8900000.0,-256300000.0,208700000.0
Issuance Of Stock,4300000.0,2600000.0,3600000.0,2500000.0
Net Income,212400000.0,183700000.0,161800000.0,200700000.0
Change In Cash,20800000.0,35700000.0,-167500000.0,202600000.0
Repurchase Of Stock,-3100000.0,-8200000.0,-5200000.0,-3600000.0
Effect Of Exchange Rate,-15500000.0,8000000.0,7200000.0,16700000.0
Total Cash From Operating Activities,144200000.0,260900000.0,-32200000.0,414600000.0
Depreciation,47200000.0,43800000.0,48100000.0,28700000.0
Other Cashflows From Investing Activities,100000.0,200000.0,200000.0,400000.0
Dividends Paid,-90800000.0,-90800000.0,-90800000.0,-82700000.0
Change To Inventory,-156500000.0,-156500000.0,-156500000.0,-200200000.0
Change To Account Receivables,1300000.0,1300000.0,1300000.0,4800000.0
Change To Netincome,4300000.0,24500000.0,14200000.0,-4700000.0
Capital Expenditures,-77100000.0,-64200000.0,-48600000.0,-79700000.0
Investments,,65400000.0,65400000.0,65400000.0
Other Cashflows From Financing Activities,,-800000.0,-1100000.0,-1100000.0
