,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-669000000.0,-304000000.0,-80000000.0,206000000.0
Change To Liabilities,103000000.0,-60000000.0,-288000000.0,337000000.0
Total Cashflows From Investing Activities,-698000000.0,-321000000.0,-87000000.0,-498000000.0
Total Cash From Financing Activities,-4000000.0,7000000.0,-207000000.0,156000000.0
Change To Operating Activities,231000000.0,473000000.0,585000000.0,665000000.0
Net Income,143000000.0,185000000.0,228000000.0,34000000.0
Change In Cash,-241000000.0,179000000.0,274000000.0,957000000.0
Total Cash From Operating Activities,461000000.0,493000000.0,568000000.0,1299000000.0
Depreciation,32000000.0,31000000.0,33000000.0,-14000000.0
Other Cashflows From Investing Activities,-2000000.0,-4000000.0,9000000.0,-1000000.0
Change To Account Receivables,-55000000.0,-94000000.0,-98000000.0,269000000.0
Other Cashflows From Financing Activities,-4000000.0,8000000.0,-28000000.0,7000000.0
Change To Netincome,-2000000.0,10000000.0,42000000.0,18000000.0
Capital Expenditures,-27000000.0,-13000000.0,-16000000.0,-10000000.0
Repurchase Of Stock,,-1000000.0,-179000000.0,-153000000.0
Net Borrowings,,,,302000000.0
