,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,896000000.0,927000000.0,959000000.0,991000000.0
Total Liab,22010000000.0,22212000000.0,22429000000.0,22599000000.0
Total Stockholder Equity,11941000000.0,12005000000.0,12161000000.0,12247000000.0
Minority Interest,243000000.0,244000000.0,245000000.0,247000000.0
Other Current Liab,323000000.0,307000000.0,430000000.0,353000000.0
Total Assets,35773000000.0,36030000000.0,36414000000.0,36662000000.0
Common Stock,11958000000.0,12022000000.0,12176000000.0,12263000000.0
Other Current Assets,32000000.0,37000000.0,214000000.0,31000000.0
Other Liab,588000000.0,505000000.0,495000000.0,538000000.0
Good Will,7657000000.0,7657000000.0,7657000000.0,7657000000.0
Treasury Stock,-17000000.0,-17000000.0,-15000000.0,-16000000.0
Other Assets,976000000.0,510000000.0,489000000.0,492000000.0
Cash,8000000.0,24000000.0,15000000.0,28000000.0
Total Current Liabilities,1727000000.0,1196000000.0,2086000000.0,1531000000.0
Short Long Term Debt,1000000.0,2000000.0,764000000.0,307000000.0
Other Stockholder Equity,-17000000.0,-17000000.0,-15000000.0,-16000000.0
Property Plant Equipment,20879000000.0,21522000000.0,21758000000.0,22169000000.0
Total Current Assets,1332000000.0,1374000000.0,1515000000.0,1272000000.0
Long Term Investments,4033000000.0,4040000000.0,4036000000.0,4081000000.0
Net Tangible Assets,3388000000.0,3421000000.0,3545000000.0,3599000000.0
Net Receivables,1154000000.0,1168000000.0,1164000000.0,1085000000.0
Long Term Debt,19225000000.0,20042000000.0,19366000000.0,20030000000.0
Inventory,126000000.0,128000000.0,118000000.0,117000000.0
Accounts Payable,878000000.0,401000000.0,410000000.0,429000000.0
