,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,49468000.0,44753000.0,41892000.0,42252000.0
Effect Of Accounting Charges,,,,
Income Before Tax,77924000.0,63659000.0,48673000.0,44442000.0
Minority Interest,,,,
Net Income,68770000.0,55169000.0,45413000.0,42887000.0
Selling General Administrative,56291000.0,57238000.0,51453000.0,45120000.0
Gross Profit,186311000.0,164215000.0,141059000.0,128874000.0
Ebit,80552000.0,62224000.0,47714000.0,41502000.0
Operating Income,80552000.0,62224000.0,47714000.0,41502000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,9154000.0,8490000.0,3260000.0,1555000.0
Total Revenue,323522000.0,293317000.0,254455000.0,233043000.0
Total Operating Expenses,242970000.0,231093000.0,206741000.0,191541000.0
Cost Of Revenue,137211000.0,129102000.0,113396000.0,104169000.0
Total Other Income Expense Net,-2628000.0,1435000.0,959000.0,2940000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,68770000.0,55169000.0,45413000.0,42887000.0
Net Income Applicable To Common Shares,68770000.0,55169000.0,45413000.0,42887000.0
