,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,4309000000.0,4557000000.0,4212000000.0,320000000.0
Total Liab,38770000000.0,39099000000.0,41667000000.0,41815000000.0
Total Stockholder Equity,47116000000.0,44165000000.0,40000000000.0,38280000000.0
Minority Interest,2205000000.0,2160000000.0,1982000000.0,1957000000.0
Total Assets,88091000000.0,85424000000.0,83649000000.0,82052000000.0
Common Stock,47116000000.0,393000000.0,40000000000.0,393000000.0
Other Liab,8886000000.0,9594000000.0,9071000000.0,9333000000.0
Other Assets,8735000000.0,9856000000.0,9516000000.0,9348000000.0
Cash,4381000000.0,4071000000.0,5474000000.0,5600000000.0
Total Current Liabilities,23431000000.0,22916000000.0,24044000000.0,22667000000.0
Deferred Long Term Asset Charges,7787000000.0,7824000000.0,7831000000.0,7866000000.0
Short Long Term Debt,1296000000.0,1428000000.0,2013000000.0,677000000.0
Property Plant Equipment,29599000000.0,30229000000.0,29498000000.0,30622000000.0
Total Current Assets,33180000000.0,29400000000.0,30499000000.0,27973000000.0
Long Term Investments,12268000000.0,11382000000.0,9924000000.0,9797000000.0
Net Tangible Assets,42807000000.0,39608000000.0,35788000000.0,33968000000.0
Net Receivables,5572000000.0,5586000000.0,3783000000.0,4190000000.0
Long Term Debt,6453000000.0,5988000000.0,8552000000.0,9183000000.0
Inventory,18806000000.0,16286000000.0,13228000000.0,12328000000.0
Accounts Payable,14108000000.0,14076000000.0,12231000000.0,11525000000.0
Capital Surplus,,35250000000.0,,35247000000.0
Other Current Liab,,1704000000.0,3271000000.0,5566000000.0
Other Current Assets,,113000000.0,4854000000.0,5369000000.0
Retained Earnings,,28187000000.0,,22097000000.0
Treasury Stock,,-19665000000.0,,-19457000000.0
Other Stockholder Equity,,-17401000000.0,,-18919000000.0
Good Will,,,,3992000000.0
