,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,0.0,0.0,0.0,-214000000.0
Total Cashflows From Investing Activities,509000000.0,118000000.0,268000000.0,-406000000.0
Net Borrowings,-852000000.0,-2283000000.0,-673000000.0,-1589000000.0
Total Cash From Financing Activities,-2740000000.0,-3780000000.0,-1388000000.0,-2227000000.0
Change To Operating Activities,-2896000000.0,-2819000000.0,-1634000000.0,-1413000000.0
Net Income,4621000000.0,4005000000.0,2285000000.0,1207000000.0
Change In Cash,202000000.0,-1296000000.0,-236000000.0,-916000000.0
Repurchase Of Stock,-1703000000.0,-997000000.0,-650000000.0,-487000000.0
Effect Of Exchange Rate,-9000000.0,47000000.0,-106000000.0,234000000.0
Total Cash From Operating Activities,2442000000.0,2312000000.0,997000000.0,1416000000.0
Depreciation,590000000.0,620000000.0,601000000.0,711000000.0
Other Cashflows From Investing Activities,1184000000.0,-686000000.0,887000000.0,-294000000.0
Other Cashflows From Financing Activities,-185000000.0,-216000000.0,-65000000.0,-161000000.0
Change To Netincome,127000000.0,1327000000.0,-255000000.0,120000000.0
Capital Expenditures,-675000000.0,-569000000.0,-619000000.0,-668000000.0
Investments,,1377000000.0,1377000000.0,59000000.0
Dividends Paid,,-284000000.0,-284000000.0,-284000000.0
Issuance Of Stock,,,,10000000.0
Change To Inventory,,,,1786000000.0
Change To Account Receivables,,,,-76000000.0
