,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,793002000.0,227045000.0,226673000.0,230900000.0
Capital Surplus,8110650000.0,8068659000.0,7135823000.0,7394646000.0
Total Liab,4953102000.0,4567781000.0,4427202000.0,4152965000.0
Total Stockholder Equity,-68352000.0,-142245000.0,-1214591000.0,-1177667000.0
Minority Interest,8876000.0,8397000.0,2057000.0,1682000.0
Other Current Liab,307085000.0,264368000.0,250201000.0,279528000.0
Total Assets,4893626000.0,4433933000.0,3214668000.0,2976980000.0
Common Stock,277000.0,277000.0,270000.0,267000.0
Other Current Assets,144077000.0,124438000.0,147863000.0,70332000.0
Retained Earnings,-7975882000.0,-8107092000.0,-8248654000.0,-8491126000.0
Other Liab,151051000.0,29476000.0,29662000.0,34734000.0
Good Will,2427450000.0,2973121000.0,1254248000.0,1270532000.0
Treasury Stock,-203397000.0,-104089000.0,-102030000.0,-81454000.0
Other Assets,461263000.0,455175000.0,408352000.0,248328000.0
Cash,511311000.0,236460000.0,845696000.0,739164000.0
Total Current Liabilities,747954000.0,577967000.0,469924000.0,500036000.0
Deferred Long Term Asset Charges,310034000.0,314029000.0,302688000.0,224013000.0
Short Long Term Debt,121027000.0,,,
Other Stockholder Equity,-203397000.0,-104089000.0,-102030000.0,-81454000.0
Property Plant Equipment,145652000.0,129916000.0,106957000.0,192808000.0
Total Current Assets,1052059000.0,634476000.0,1204238000.0,1020212000.0
Long Term Investments,14200000.0,14200000.0,14200000.0,14200000.0
Net Tangible Assets,-3288804000.0,-3342411000.0,-2695512000.0,-2679099000.0
Short Term Investments,11874000.0,12453000.0,,
Net Receivables,384797000.0,261125000.0,210679000.0,138923000.0
Long Term Debt,3933898000.0,3845555000.0,3843244000.0,3534706000.0
Accounts Payable,30256000.0,57937000.0,13152000.0,29200000.0
